W,direction,t,secant_fd,secant_reopt,lfd_ok_p,lfd_ok_m
80000,leverage_weighted,0.005499355197497002,0.15413165230086476,NaN,false,false
80000,dense_random_1,0.004788740360908498,-0.054865711165743,NaN,false,false
80000,origin_block,0.008031005587516994,-0.29331914599154996,NaN,false,false
80000,dense_random_2,0.010287272911268321,-0.6527801679913519,NaN,false,false
320000,leverage_weighted,0.0013585688529576835,0.09136769565664682,NaN,false,true
320000,dense_random_1,0.0013195657239909004,0.09630314738359246,NaN,false,false
320000,origin_block,0.0020426334419270187,-0.30265054213944365,NaN,false,false
320000,dense_random_2,0.0021338622433518593,-0.05116099409937819,NaN,false,false
1280000,leverage_weighted,0.00034554305086341994,0.0708776992342687,0.12283135000788256,true,true
1280000,dense_random_1,0.0003212740105757388,0.024989764986426702,NaN,true,false
1280000,origin_block,0.0004760571204624614,-0.058373494403419095,NaN,false,false
1280000,dense_random_2,0.0004760571204624614,-0.0456687570187484,NaN,false,false
