target,scramble,seed,W,m,family,param,h,cplus,cminus,cmin,secant,leverage
0.1,tuning,29,20000,1,A_fixed_raw,1.0e-5,1.0e-5,0,0,0,0.0,0.3819730496717949
0.1,tuning,29,20000,1,A_fixed_raw,0.0001,0.0001,0,1,0,-0.0034012390964788253,0.3819730496717949
0.1,tuning,29,20000,1,A_fixed_raw,0.001,0.001,9,10,9,-0.2656536774536117,0.3819730496717949
0.1,tuning,29,20000,1,C_fixed_crossing,10,0.0010224650467285852,10,10,10,-0.2795095954856488,0.3819730496717949
0.1,tuning,29,20000,1,C_fixed_crossing,25,0.002450006823774582,25,27,25,-0.30413417575999074,0.3819730496717949
0.1,tuning,29,20000,1,C_fixed_crossing,50,0.005224967671570102,50,54,50,-0.2795147359661802,0.3819730496717949
0.1,tuning,29,20000,1,C_fixed_crossing,100,0.010436046598802108,101,112,101,-0.29252698006266786,0.3819730496717949
0.1,tuning,29,20000,1,D_growing_crossing,10,0.00046229465522959826,5,6,5,-0.36304331051700406,0.3819730496717949
0.1,tuning,29,20000,1,D_growing_crossing,25,0.0013002179187759618,13,14,13,-0.30828438119666063,0.3819730496717949
0.1,tuning,29,20000,1,D_growing_crossing,50,0.002450006823774582,25,27,25,-0.30413417575999074,0.3819730496717949
0.1,tuning,29,20000,2,A_fixed_raw,1.0e-5,1.0e-5,0,0,0,0.0,0.07251655396717029
0.1,tuning,29,20000,2,A_fixed_raw,0.0001,0.0001,1,1,1,0.01000323425717764,0.07251655396717029
0.1,tuning,29,20000,2,A_fixed_raw,0.001,0.001,8,9,8,0.006962803440681287,0.07251655396717029
0.1,tuning,29,20000,2,C_fixed_crossing,10,0.0013002179187759618,10,10,10,0.006386299415245945,0.07251655396717029
0.1,tuning,29,20000,2,C_fixed_crossing,25,0.0030041505016429643,25,26,25,-0.045240744869016934,0.07251655396717029
0.1,tuning,29,20000,2,C_fixed_crossing,50,0.005538406937184876,50,51,50,-0.03961178851006235,0.07251655396717029
0.1,tuning,29,20000,2,C_fixed_crossing,100,0.011062091961656407,100,105,100,-0.04456907123421211,0.07251655396717029
0.1,tuning,29,20000,2,D_growing_crossing,10,0.000579376979310525,5,5,5,0.009682579189152368,0.07251655396717029
0.1,tuning,29,20000,2,D_growing_crossing,25,0.0016059543493958499,13,14,13,-0.019541842187185493,0.07251655396717029
0.1,tuning,29,20000,2,D_growing_crossing,50,0.0030041505016429643,25,26,25,-0.045240744869016934,0.07251655396717029
0.1,tuning,29,20000,3,A_fixed_raw,1.0e-5,1.0e-5,0,0,0,0.045763749222799126,0.2982316007191014
0.1,tuning,29,20000,3,A_fixed_raw,0.0001,0.0001,0,1,0,-0.5443959846556518,0.2982316007191014
0.1,tuning,29,20000,3,A_fixed_raw,0.001,0.001,6,8,6,-0.027840181713617573,0.2982316007191014
0.1,tuning,29,20000,3,C_fixed_crossing,10,0.0014397707390125497,10,11,10,-0.007576535647434115,0.2982316007191014
0.1,tuning,29,20000,3,C_fixed_crossing,25,0.003424912729297257,26,25,25,-0.021442039620655055,0.2982316007191014
0.1,tuning,29,20000,3,C_fixed_crossing,50,0.007094392232156065,52,50,50,-0.051422438769437674,0.2982316007191014
0.1,tuning,29,20000,3,C_fixed_crossing,100,0.014377815674266069,100,101,100,-0.06019265723582234,0.2982316007191014
0.1,tuning,29,20000,3,D_growing_crossing,10,0.0005465878583649445,5,5,5,-0.05414896419724959,0.2982316007191014
0.1,tuning,29,20000,3,D_growing_crossing,25,0.001677680038122544,13,13,13,-0.02518535984647206,0.2982316007191014
0.1,tuning,29,20000,3,D_growing_crossing,50,0.003424912729297257,26,25,25,-0.021442039620655055,0.2982316007191014
0.1,tuning,29,20000,4,A_fixed_raw,1.0e-5,1.0e-5,0,0,0,0.0,1.5901957092207055
0.1,tuning,29,20000,4,A_fixed_raw,0.0001,0.0001,7,5,5,1.1793882615185325,1.5901957092207055
0.1,tuning,29,20000,4,A_fixed_raw,0.001,0.001,56,52,52,1.2037368812565854,1.5901957092207055
0.1,tuning,29,20000,4,C_fixed_crossing,10,0.0001767861209252649,11,10,10,1.1278018560755065,1.5901957092207055
0.1,tuning,29,20000,4,C_fixed_crossing,25,0.0004900271325081146,27,25,25,1.2500954674744496,1.5901957092207055
0.1,tuning,29,20000,4,C_fixed_crossing,50,0.000964599906626352,55,50,50,1.21025527890189,1.5901957092207055
0.1,tuning,29,20000,4,C_fixed_crossing,100,0.0019549017312612067,103,100,100,1.1463735479633848,1.5901957092207055
0.1,tuning,29,20000,4,D_growing_crossing,10,7.377841875327252e-5,5,5,5,1.1161943002483061,1.5901957092207055
0.1,tuning,29,20000,4,D_growing_crossing,25,0.00024533964095570324,15,13,13,1.136729532549439,1.5901957092207055
0.1,tuning,29,20000,4,D_growing_crossing,50,0.0004900271325081146,27,25,25,1.2500954674744496,1.5901957092207055
0.1,tuning,29,20000,5,A_fixed_raw,1.0e-5,1.0e-5,1,0,0,-2.273011332347419,0.751197942485476
0.1,tuning,29,20000,5,A_fixed_raw,0.0001,0.0001,3,2,2,-0.7280702881632545,0.751197942485476
0.1,tuning,29,20000,5,A_fixed_raw,0.001,0.001,34,36,34,-1.3617597242702104,0.751197942485476
0.1,tuning,29,20000,5,C_fixed_crossing,10,0.00029432974009474533,10,11,10,-1.385267181515295,0.751197942485476
0.1,tuning,29,20000,5,C_fixed_crossing,25,0.0007421497893038315,25,25,25,-1.2838422959840077,0.751197942485476
0.1,tuning,29,20000,5,C_fixed_crossing,50,0.001471571314798542,50,51,50,-1.3295859444822582,0.751197942485476
0.1,tuning,29,20000,5,C_fixed_crossing,100,0.0030929458282575664,100,110,100,-1.3064399791285846,0.751197942485476
0.1,tuning,29,20000,5,D_growing_crossing,10,0.00014629149836497854,5,5,5,-1.1145874643006313,0.751197942485476
0.1,tuning,29,20000,5,D_growing_crossing,25,0.0003582827361744967,13,13,13,-1.4062015566637278,0.751197942485476
0.1,tuning,29,20000,5,D_growing_crossing,50,0.0007421497893038315,25,25,25,-1.2838422959840077,0.751197942485476
0.1,tuning,29,20000,6,A_fixed_raw,1.0e-5,1.0e-5,1,0,0,-0.027376887059421536,1.1372293674543315
0.1,tuning,29,20000,6,A_fixed_raw,0.0001,0.0001,5,4,4,-0.4908953444933417,1.1372293674543315
0.1,tuning,29,20000,6,A_fixed_raw,0.001,0.001,45,43,43,-0.8578069817177999,1.1372293674543315
0.1,tuning,29,20000,6,C_fixed_crossing,10,0.00019434022703931545,10,10,10,-0.8822551350737691,1.1372293674543315
