target,scramble,seed,W,m,policy,h,cplus,cminus,cmin,secant_fixed_dual,secant_reopt,boundary_p,boundary_m,leverage
0.1,tuning,29,20000,1,B_alpha_half_anchor25,0.0002,0,2,0,-0.017985222340657914,-0.018075835441881682,false,false,0.3819730496717949
0.1,tuning,29,20000,1,C_target25,0.002450006823774582,25,27,25,-0.30413417575999074,-0.30516989012499285,false,false,0.3819730496717949
0.1,tuning,29,20000,2,B_alpha_half_anchor25,0.0002,2,1,1,0.007521271114321881,0.00906032169064458,false,false,0.07251655396717029
0.1,tuning,29,20000,2,C_target25,0.0030041505016429643,25,26,25,-0.045240744869016934,-0.04331415521818844,false,false,0.07251655396717029
0.1,tuning,29,20000,3,B_alpha_half_anchor25,0.0002,1,1,1,-0.23304434482691178,-0.23360907788375768,false,false,0.2982316007191014
0.1,tuning,29,20000,3,C_target25,0.003424912729297257,26,25,25,-0.021442039620655055,-0.020808465948040575,false,false,0.2982316007191014
0.1,tuning,29,20000,4,B_alpha_half_anchor25,0.0002,12,10,10,0.9945503464112506,1.000959132830305,false,false,1.5901957092207055
0.1,tuning,29,20000,4,C_target25,0.0004900271325081146,27,25,25,1.2500954674744496,1.2543554725951933,false,false,1.5901957092207055
0.1,tuning,29,20000,5,B_alpha_half_anchor25,0.0002,7,7,7,-1.2848313928206372,-1.2840853891737947,false,false,0.751197942485476
0.1,tuning,29,20000,5,C_target25,0.0007421497893038315,25,25,25,-1.2838422959840077,-1.282568100483785,false,false,0.751197942485476
0.1,tuning,29,20000,6,B_alpha_half_anchor25,0.0002,11,10,10,-1.0355436730726322,-1.0330248679284864,false,false,1.1372293674543315
0.1,tuning,29,20000,6,C_target25,0.0005668566744133438,25,25,25,-0.8268116054253885,-0.8244996488050742,false,false,1.1372293674543315
0.1,tuning,29,20000,7,B_alpha_half_anchor25,0.0002,7,8,7,-1.03854839327705,-1.0419550981134729,false,false,0.9924333042822502
0.1,tuning,29,20000,7,C_target25,0.0008218049722079714,25,26,25,-0.8609501115669392,-0.85436536852391,false,false,0.9924333042822502
0.1,tuning,29,20000,8,B_alpha_half_anchor25,0.0002,3,4,3,-0.0069118763314224285,-0.0068282221260193565,false,false,0.36414053330894147
0.1,tuning,29,20000,8,C_target25,0.001115835958737614,25,25,25,-0.24005138296689368,-0.24193136015006134,false,false,0.36414053330894147
0.1,tuning,29,20000,9,B_alpha_half_anchor25,0.0002,14,14,14,0.972030353095163,0.9715692161826189,false,false,1.4440302098093005
0.1,tuning,29,20000,9,C_target25,0.0003165634100620773,25,25,25,1.1442581515067634,1.1434190614815252,false,false,1.4440302098093005
0.1,tuning,29,20000,10,B_alpha_half_anchor25,0.0002,2,2,2,-0.011459638262524552,-0.012448591699479317,false,false,0.08745637221810908
0.1,tuning,29,20000,10,C_target25,0.003138322910622115,25,28,25,-0.07330601362745096,-0.07603449885565339,false,false,0.08745637221810908
0.1,tuning,29,20000,11,B_alpha_half_anchor25,0.0002,5,5,5,-0.4123835460619063,-0.41255893856166626,false,false,0.760287900075816
0.1,tuning,29,20000,11,C_target25,0.0009437549552975531,25,26,25,-0.6751817535805883,-0.6756155082409102,false,false,0.760287900075816
0.1,tuning,29,20000,12,B_alpha_half_anchor25,0.0002,7,8,7,-0.7171628138096658,-0.7139857288803938,false,false,0.8440821262399694
