target,path,scale,m,t_A,t_q,a_moved,q_moved,has_switch,pred_aq,actual_dDelta_qspace,actual_dDelta_fspace,lfd_ok_p_q,lfd_ok_m_q,lfd_ok_p_f,lfd_ok_m_f
0.1,pure_intensive,0.5,1,0.0005,0.0,true,false,true,-0.00017774412886620305,-0.0003554906661930035,-0.0003554906661930035,true,true,true,true
0.1,pure_intensive,1.0,1,0.001,0.0,true,false,true,-0.0003554882577324061,-0.0007109957832883429,-0.0007109957832883429,true,true,true,true
0.1,pure_intensive,2.0,1,0.002,0.0,true,false,true,-0.0007109765154648122,-0.0014221071779830785,-0.0014221071779830924,true,true,true,true
0.1,pure_extensive,0.5,1,0.0,0.0007882716889080321,false,true,true,-0.0001955408727236027,-0.00038620519275026077,-0.00038620519275026077,true,true,true,true
0.1,pure_extensive,1.0,1,0.0,0.0015765433778160642,false,true,true,-0.0003910817454472054,-0.0007809246130706798,-0.0007809246130706798,true,true,true,true
0.1,pure_extensive,2.0,1,0.0,0.0031530867556321283,false,true,true,-0.0007821634908944108,-0.0017566881772218684,-0.0017566881772218684,true,true,true,true
0.1,mixed_5050,0.5,1,0.0005,0.0007882716889080321,true,true,true,-0.00037328500158980576,-0.0007415447812918058,-0.0007415447812918058,true,true,true,true
0.1,mixed_5050,1.0,1,0.001,0.0015765433778160642,true,true,true,-0.0007465700031796115,-0.001491296564075123,-0.001491296564075123,true,true,true,true
0.1,mixed_5050,2.0,1,0.002,0.0031530867556321283,true,true,true,-0.001493140006359223,-0.003176586979339646,-0.0031765869793395074,true,true,true,true
0.1,mixed_7525,0.5,1,0.0005,0.0002601296573396506,true,true,true,-0.00024227261686499195,-0.0005046039861166945,-0.0005046039861166945,true,true,true,true
0.1,mixed_7525,1.0,1,0.001,0.0005202593146793012,true,true,true,-0.0004845452337299839,-0.000978643527133824,-0.000978643527133824,true,true,true,true
0.1,mixed_7525,2.0,1,0.002,0.0010405186293586024,true,true,true,-0.0009690904674599678,-0.001971108951385331,-0.0019711089513853447,true,true,true,true
0.5,pure_intensive,0.5,1,0.0005,0.0,true,false,true,0.00018490603010518384,0.00036980912115153197,0.00036980912115153197,true,true,true,true
0.5,pure_intensive,1.0,1,0.001,0.0,true,false,true,0.0003698120602103677,0.0007396006080505613,0.0007396006080505613,true,true,true,true
0.5,pure_intensive,2.0,1,0.002,0.0,true,false,true,0.0007396241204207354,0.0014790601400678227,0.0014790601400681558,true,true,true,true
0.5,pure_extensive,0.5,1,0.0,0.0008280673579809908,false,true,true,-0.00038963957800274007,-0.0010057224842384138,-0.0010057224842384138,true,true,true,true
0.5,pure_extensive,1.0,1,0.0,0.0016561347159619816,false,true,true,-0.0007792791560054801,-0.0015565544490945271,-0.0015565544490945271,true,true,true,true
0.5,pure_extensive,2.0,1,0.0,0.0033122694319239632,false,true,true,-0.0015585583120109603,-0.0026729443645326922,-0.0026729443645326922,true,true,true,true
0.5,mixed_5050,0.5,1,0.0005,0.0008280673579809908,true,true,true,-0.00020473354789755623,-0.0006361677371437557,-0.0006361677371437557,true,true,true,true
0.5,mixed_5050,1.0,1,0.001,0.0016561347159619816,true,true,true,-0.00040946709579511246,-0.0008177420190909612,-0.0008177420190909612,true,true,true,true
0.5,mixed_5050,2.0,1,0.002,0.0033122694319239632,true,true,true,-0.0008189341915902249,-0.0011954336793496556,-0.001195433679349489,true,true,true,true
0.5,mixed_7525,0.5,1,0.0005,0.000273262228133727,true,true,true,5.632496936427961e-5,0.000373028122994834,0.000373028122994834,true,true,true,true
0.5,mixed_7525,1.0,1,0.001,0.000546524456267454,true,true,true,0.00011264993872855923,0.0002714047617070059,0.0002714047617070059,true,true,true,true
0.5,mixed_7525,2.0,1,0.002,0.001093048912534908,true,true,true,0.00022529987745711845,0.0004786699079988299,0.0004786699079987189,true,true,true,true
