branch,grid_index,fraction_to_theoretical_endpoint,gamma_d_prime,kappa_ratio,gains_from_trade_pct,A_hash,f_hash,classification,delta_star,certified_lower_bound,exact_infeasibility_kind,exact_infeasibility_block,policy,evaluation_cap,raw_lower_limit,solver_status,iterations,wall_seconds,warm_start_source,primal_dual_gap,normalization_residual,weighted_moment_residual,kkt_residual,primal_divergence,dual_divergence,min_slack,gravity_residual_A,gravity_residual_f,min_density_ratio,max_density_ratio,cold_replay_status
B_toward_max_gamma,0,0.00000000,0.6578550157,0.9796971896,2.03028104,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,4.07206993e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,2,0.4920,calibration_seed,2.494478e-15,0.000000e+00,2.342571e-14,NaN,4.072070e-04,4.072070e-04,2.051175e-02,-3.756544e-15,6.071532e-16,2.776345e-01,4.753382e+00,not_replayed
B_toward_max_gamma,1,0.00062500,0.6578677968,0.9797098789,2.02901211,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,4.07318832e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,9,0.4830,calibration_seed,4.119968e-18,0.000000e+00,7.660539e-15,NaN,4.073188e-04,4.073188e-04,2.049879e-02,-3.756544e-15,2.732189e-16,2.776345e-01,4.753382e+00,not_replayed
B_toward_max_gamma,2,0.00250000,0.6579061405,0.9797479466,2.02520534,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,4.08236719e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,10,0.4923,previous_finite_idx1,1.138412e-17,1.110223e-16,1.021405e-14,NaN,4.082367e-04,4.082367e-04,2.045994e-02,-3.756544e-15,5.689893e-16,2.776345e-01,4.753382e+00,not_replayed
B_toward_max_gamma,3,0.00562500,0.6579700483,0.9798113929,2.01886071,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,4.11493197e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,11,0.4923,previous_finite_idx2,7.090682e-17,2.220446e-16,1.243450e-14,NaN,4.114932e-04,4.114932e-04,2.039518e-02,-3.756544e-15,-1.630640e-16,2.776345e-01,4.753382e+00,not_replayed
B_toward_max_gamma,4,0.01000000,0.6580595228,0.9799002177,2.00997823,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,4.20165352e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,12,0.5035,previous_finite_idx3,1.185033e-16,2.220446e-16,1.088019e-14,NaN,4.201654e-04,4.201654e-04,2.030453e-02,-3.756544e-15,8.994541e-16,2.776345e-01,4.753382e+00,not_replayed
B_toward_max_gamma,5,0.01562500,0.6581745673,0.9800144210,1.99855790,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,4.37820023e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,13,0.4935,previous_finite_idx4,1.276648e-16,0.000000e+00,8.659740e-15,NaN,4.378200e-04,4.378200e-04,2.018799e-02,-3.756544e-15,9.653736e-16,2.776345e-01,4.753382e+00,not_replayed
B_toward_max_gamma,6,0.02250000,0.6583151863,0.9801540028,1.98459972,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,4.69839754e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,14,0.5425,previous_finite_idx5,1.955359e-16,0.000000e+00,1.676437e-14,NaN,4.698398e-04,4.698398e-04,2.004557e-02,-3.756544e-15,3.304648e-16,2.776345e-01,4.753382e+00,not_replayed
B_toward_max_gamma,7,0.03062500,0.6584813854,0.9803189632,1.96810368,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,5.23972266e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,15,0.4900,previous_finite_idx6,4.889752e-17,0.000000e+00,2.287059e-14,NaN,5.239723e-04,5.239723e-04,1.987729e-02,-3.756544e-15,-9.280771e-17,2.776345e-01,4.753382e+00,not_replayed
B_toward_max_gamma,8,0.04000000,0.6586731710,0.9805093020,1.94906980,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,6.06673023e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,16,0.5262,previous_finite_idx7,3.155028e-16,0.000000e+00,1.254552e-14,NaN,6.066730e-04,6.066730e-04,1.968315e-02,-3.756544e-15,2.914335e-16,2.776345e-01,4.753382e+00,not_replayed
B_toward_max_gamma,9,0.05062500,0.6588905504,0.9807250194,1.92749806,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,7.29263020e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,16,0.6270,previous_finite_idx8,5.529431e-17,0.000000e+00,3.044490e-14,NaN,7.292630e-04,7.292630e-04,1.946317e-02,-3.756544e-15,3.096481e-16,2.776345e-01,4.753382e+00,not_replayed
B_toward_max_gamma,10,0.06250000,0.6591335322,0.9809661153,1.90338847,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,9.00726381e-04,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,16,0.5008,previous_finite_idx9,8.830827e-16,0.000000e+00,6.991367e-14,NaN,9.007264e-04,9.007264e-04,1.921736e-02,-3.756544e-15,3.981190e-16,2.014738e-01,4.753382e+00,not_replayed
B_toward_max_gamma,11,0.07562500,0.6594021258,0.9812325896,1.87674104,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.13673912e-03,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,16,0.4962,previous_finite_idx10,3.251089e-15,0.000000e+00,1.505553e-13,NaN,1.136739e-03,1.136739e-03,1.894575e-02,-3.756544e-15,2.003606e-16,1.370618e-01,4.753382e+00,not_replayed
B_toward_max_gamma,12,0.09000000,0.6596963416,0.9815244425,1.84755575,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.45372683e-03,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,16,0.5948,previous_finite_idx11,6.794261e-15,0.000000e+00,3.041846e-13,NaN,1.453727e-03,1.453727e-03,1.864836e-02,-3.756544e-15,4.761816e-16,8.769522e-02,4.753382e+00,not_replayed
B_toward_max_gamma,13,0.10562500,0.6600161909,0.9818416739,1.81583261,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.86913306e-03,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,16,0.5251,previous_finite_idx12,1.682118e-14,1.110223e-16,5.839917e-13,NaN,1.869133e-03,1.869133e-03,1.832521e-02,-3.756544e-15,6.080206e-16,5.235197e-02,4.753382e+00,not_replayed
B_toward_max_gamma,14,0.12250000,0.6603616863,0.9821842839,1.78157161,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,2.40667953e-03,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5439,previous_finite_idx13,5.663872e-16,2.220446e-16,1.754152e-14,NaN,2.406680e-03,2.406680e-03,1.797633e-02,-3.756544e-15,1.977585e-16,2.885917e-02,4.753382e+00,not_replayed
B_toward_max_gamma,15,0.14062500,0.6607328410,0.9825522723,1.74477277,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,3.08806095e-03,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5470,previous_finite_idx14,6.071532e-17,0.000000e+00,7.438494e-15,NaN,3.088061e-03,3.088061e-03,1.760173e-02,-3.756544e-15,7.806256e-18,1.451866e-02,4.753382e+00,not_replayed
B_toward_max_gamma,16,0.16000000,0.6611296695,0.9829456393,1.70543607,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,3.94601744e-03,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5294,previous_finite_idx15,9.731799e-16,0.000000e+00,7.993606e-15,NaN,3.946017e-03,3.946017e-03,1.720146e-02,-3.756544e-15,3.755676e-16,6.567928e-03,4.753382e+00,not_replayed
B_toward_max_gamma,17,0.18062500,0.6615521870,0.9833643847,1.66356153,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,5.01731605e-03,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5661,previous_finite_idx16,3.478121e-16,0.000000e+00,1.643130e-14,NaN,5.017316e-03,5.017316e-03,1.677554e-02,-3.756544e-15,4.423545e-17,2.627394e-03,4.753382e+00,not_replayed
B_toward_max_gamma,18,0.20250000,0.6620004100,0.9838085087,1.61914913,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,6.34329582e-03,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5854,previous_finite_idx17,2.658464e-15,0.000000e+00,2.364775e-14,NaN,6.343296e-03,6.343296e-03,1.632401e-02,-3.756544e-15,2.402592e-16,9.077881e-04,4.753382e+00,not_replayed
B_toward_max_gamma,19,0.22562500,0.6624743558,0.9842780112,1.57219888,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,7.96479673e-03,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5511,previous_finite_idx18,2.602085e-16,0.000000e+00,8.548717e-15,NaN,7.964797e-03,7.964797e-03,1.584689e-02,-3.756544e-15,5.238865e-16,2.642250e-04,4.753382e+00,not_replayed
B_toward_max_gamma,20,0.25000000,0.6629740427,0.9847728922,1.52271078,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,9.95318676e-03,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5546,previous_finite_idx19,5.048045e-16,1.110223e-16,1.154632e-14,NaN,9.953187e-03,9.953187e-03,1.534423e-02,-3.756544e-15,8.101159e-16,6.241498e-05,4.753382e+00,not_replayed
B_toward_max_gamma,21,0.27562500,0.6634994899,0.9852931517,1.47068483,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.23606819e-02,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5771,previous_finite_idx20,1.885644e-15,2.220446e-16,1.276756e-14,NaN,1.236068e-02,1.236068e-02,1.481607e-02,-3.756544e-15,8.465451e-16,1.149022e-05,4.753382e+00,not_replayed
B_toward_max_gamma,22,0.30250000,0.6640507177,0.9858387897,1.41612103,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.52847779e-02,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5549,previous_finite_idx21,1.004405e-15,0.000000e+00,6.328271e-15,NaN,1.528478e-02,1.528478e-02,1.426244e-02,-3.756544e-15,8.404735e-16,1.554522e-06,4.753382e+00,not_replayed
B_toward_max_gamma,23,0.33062500,0.6646277474,0.9864098063,1.35901937,9a1740660f5d4abf,c9e739c0aaaab3dd,FiniteSolved,1.88047793e-02,NaN,,-1,CappedEvaluation(cap=10.0; max_iterations=10000; max_seconds=90.0),10.0000,-10.0000,0,18,0.5667,previous_finite_idx22,3.500672e-15,2.220446e-16,1.088019e-14,NaN,1.880478e-02,1.880478e-02,1.368339e-02,-3.756544e-15,-6.158268e-17,1.438954e-07,4.753382e+00,not_replayed
