point,blas_threads,wall_s,n_eval,n_grad,best_gp,best_Delta,knitro_status
P0,1,82.48,2,2,0.9738964356137775,0.46815445984363124,-401
P0,4,55.502,6,5,0.9700864561295264,0.8476785439399508,-401
P0,8,47.097,6,5,0.9700864561295264,0.8476785439399375,-401
P0,10,48.974,7,6,0.9700864561295264,0.8476785439399519,-411
P0,20,46.533,6,5,0.9700864561295264,0.8476785439399506,-401
P_near,1,65.288,3,3,0.9720767973426266,0.4980686596099932,-401
P_near,4,52.969,4,4,0.9665125595220394,0.9263970001815123,-401
P_near,8,48.983,5,5,0.9665125595220393,0.9263970001815165,-411
P_near,10,46.069,5,5,0.9665125595220395,0.9263970001815057,-411
P_near,20,47.712,6,6,0.9665125595220395,0.9263970001815038,-411
