idx,phase,g,GT,classification,Delta,within_budget,lfd_ok,lfd_Delta,nStatus,unique_inner_solves,wall_s,timestamp
1,anchor,-0.5144438511353211,8.083886759843061,FiniteSolved,0.33072127517462424,true,true,0.33072127517462424,0,0,0.0,2026-07-31T03:30:10.108
2,expand,-0.5226257390001413,8.583886759843063,FiniteSolved,0.46450266214946234,true,true,0.46450266214946234,0,194,160.4759771823883,2026-07-31T03:33:00.969
3,expand,-0.5349828634068214,9.333886759843036,FiniteSolved,1.4383213722333017,false,false,1.4383213722333017,0,22,8.841485023498535,2026-07-31T03:33:11.328
4,polish,-0.5250890333763941,8.733886759843056,FiniteSolved,0.49370825149604475,true,true,0.49370825149604475,0,198,156.39595293998718,2026-07-31T03:35:48.560
5,polish,-0.5270625855821776,8.853886759843055,FiniteSolved,0.5257242943581217,false,true,0.5257242943581217,0,114,175.32284903526306,2026-07-31T03:38:44.810
6,polish,-0.5254835361437682,8.757886759843059,FiniteSolved,0.481567470773379,true,true,0.481567470773379,0,204,173.24691891670227,2026-07-31T03:41:38.914
7,polish,-0.526142481879267,8.797960358034718,FiniteSolved,0.49036001944709995,true,true,0.4903600194471,0,119,324.6526141166687,2026-07-31T03:47:04.555
8,polish,-0.5263932378522096,8.813205387861633,FiniteSolved,0.48954273725949327,true,true,0.48954273725949327,0,201,163.37540102005005,2026-07-31T03:49:48.905
9,polish,-0.5265866633254737,8.824963195694357,FiniteSolved,0.4861362527026305,true,true,0.48613625270263056,0,204,149.6470911502838,2026-07-31T03:52:19.458
10,polish,-0.5267533143010249,8.835092238898524,FiniteSolved,0.4910527545211615,true,true,0.4910527545211614,0,12,12.667322874069214,2026-07-31T03:52:33.023
11,polish,-0.5268331179221618,8.839942303053128,FiniteSolved,0.49339957292351644,true,true,0.4933995729235165,0,12,9.852288961410522,2026-07-31T03:52:43.780
12,polish,-0.5268799703712462,8.842789639892512,FiniteSolved,0.49484256822777356,true,true,0.4948425682277736,0,12,7.870201110839844,2026-07-31T03:52:52.580
13,polish,-0.5269164916348992,8.845009063882625,FiniteSolved,0.4959394186111599,true,true,0.49593941861115987,0,12,7.691960096359253,2026-07-31T03:53:01.201
14,polish,-0.5269457092860602,8.84678460307472,FiniteSolved,0.49683085408390654,true,true,0.49683085408390654,0,12,7.758461952209473,2026-07-31T03:53:09.883
15,polish,-0.5269690838167581,8.84820503442838,FiniteSolved,0.49754901756820324,true,true,0.4975490175682033,0,12,7.556336879730225,2026-07-31T03:53:18.319
16,polish,-0.5269877837035768,8.84934137951131,FiniteSolved,0.49812250980571005,true,true,0.49812250980571,0,12,6.938798904418945,2026-07-31T03:53:26.110
