idx,phase,g,GT,classification,Delta,within_budget,best_start,trigger_reason,lfd_ok,lfd_Delta,nStatus,unique_A_points,unique_inner_solves,n_fc_calls,n_ga_calls,wall_s,timestamp
1,anchor,-0.48546126592859407,6.290640522201974,FiniteSolved,0.2879533955407155,true,trial,anchor_establish,true,0.2879533955407155,0,64,64,108,56,32.73020005226135,2026-07-30T20:37:03.596
2,expand,-0.47747907262672423,5.7906405222019846,FiniteSolved,0.20225500097702243,true,continuation,poor_kkt,true,0.20225500097702243,0,132,132,177,109,60.00791597366333,2026-07-30T20:38:07.901
3,expand,-0.46558486621799294,5.040640522201989,FiniteSolved,0.11806771289159908,true,cellwise_compensated,cap_dominated,true,0.11806771289159909,0,79,79,79,50,28.61363410949707,2026-07-30T20:38:37.452
4,expand,-0.4479185486300204,3.9156405222019797,FiniteSolved,0.04300290481002396,true,continuation,poor_kkt,true,0.04300290481002396,0,142,142,186,99,41.938925981521606,2026-07-30T20:39:19.725
5,expand,-0.4218031735131824,2.2281405222019823,FiniteSolved,0.0021314275271091007,true,continuation,poor_kkt,true,0.0021314275271091007,0,147,147,192,94,44.1257541179657,2026-07-30T20:40:04.072
6,expand,-0.3914291122729736,0.22814052220198056,AboveEvaluationCap,27.976617395391713,false,continuation,not_finite,false,NaN,-999,2,2,2,2,0.6085400581359863,2026-07-30T20:40:04.724
7,polish,-0.41567895747130046,1.828140522201982,FiniteSolved,0.002182923620601949,true,cellwise_compensated,negligible_improvement,true,0.002182923620601949,0,137,137,226,103,39.00017285346985,2026-07-30T20:40:44.055
8,polish,-0.41079752406645204,1.508140522201984,FiniteSolved,0.005851367247716817,true,cellwise_compensated,poor_kkt,true,0.005851367247716817,0,139,139,183,102,52.80632495880127,2026-07-30T20:41:37.296
9,polish,-0.40690378280926964,1.2521405222019721,FiniteSolved,0.013967375560033607,true,cellwise_compensated,cap_dominated,true,0.013967375560033607,0,8,8,8,8,4.913259029388428,2026-07-30T20:41:42.597
10,subdivide,-0.3991464921772636,0.7401405222019597,FiniteSolved,0.06713666130464917,true,cellwise_compensated,cap_dominated,true,0.06713666130464917,0,10,10,10,10,6.963771104812622,2026-07-30T21:24:40.753
11,subdivide,-0.3952828390678769,0.4841405222019701,FiniteSolved,0.24865845255607844,true,continuation,cap_dominated,false,0.24865845255607844,0,10,10,10,10,4.356404781341553,2026-07-30T21:24:46.281
12,subdivide,-0.39335473806991483,0.35614052220197534,AboveEvaluationCap,11.931929432888088,false,continuation,not_finite,false,NaN,-999,2,2,2,2,0.8077249526977539,2026-07-30T21:24:47.161
13,subdivide,-0.39431847877112897,0.42014052220197273,FiniteSolved,0.871999822320212,false,continuation,cap_dominated,false,0.871999822320212,0,12,12,12,12,5.250212907791138,2026-07-30T21:24:53.062
14,explore,-0.3876752385508516,-0.021859477798025218,InfiniteDeltaCertified,Inf,false,continuation,not_finite,false,NaN,-999,2,2,2,2,0.09449195861816406,2026-07-30T21:24:53.235
15,subdivide,-0.3948005814202725,0.45214052220197143,FiniteSolved,0.3958226947048205,true,continuation,cap_dominated,false,0.3958226947048205,0,12,12,12,12,9.947283029556274,2026-07-30T21:25:03.766
16,subdivide,-0.3945595107271205,0.43614052220197763,FiniteSolved,0.5585346552382779,false,continuation,cap_dominated,false,0.5585346552382779,0,12,12,12,12,6.818773031234741,2026-07-30T21:25:11.240
17,subdivide,-0.39468004123077327,0.44414052220197453,FiniteSolved,0.4646294988434571,true,continuation,cap_dominated,false,0.46462949884345717,0,12,12,12,12,4.665349006652832,2026-07-30T21:25:16.573
18,subdivide,-0.39461977476831345,0.44014052220198163,FiniteSolved,0.5079404330001596,false,continuation,cap_dominated,false,0.5079404330001596,0,12,12,12,12,5.6512370109558105,2026-07-30T21:25:22.791
19,subdivide,-0.39721342163830153,0.6121405222019538,FiniteSolved,0.10662488164158541,true,continuation,cap_dominated,true,0.10662488164158541,0,10,10,10,10,5.7725608348846436,2026-07-30T21:35:55.677
20,subdivide,-0.3962478197573554,0.5481405222019564,FiniteSolved,0.14757854599887021,true,continuation,cap_dominated,true,0.14757854599887021,0,10,10,10,10,3.4087018966674805,2026-07-30T21:36:00.254
21,subdivide,-0.39576525181364,0.5161405222019688,FiniteSolved,0.18400642160165676,true,continuation,cap_dominated,false,0.18400642160165676,0,10,10,10,10,3.7257790565490723,2026-07-30T21:36:04.518
22,subdivide,-0.39600651637951284,0.5321405222019737,FiniteSolved,0.1636093689761951,true,continuation,cap_dominated,true,0.1636093689761951,0,10,10,10,10,3.293571949005127,2026-07-30T21:36:08.348
23,explore,-0.3915193207814181,0.23414052220197545,AboveEvaluationCap,27.62186588553459,false,continuation,not_finite,false,NaN,-999,2,2,2,2,0.5434629917144775,2026-07-30T21:36:09.028
24,subdivide,-0.39588587924586055,0.5241405222019657,FiniteSolved,0.17314454136134078,true,continuation,cap_dominated,true,0.17314454136134078,0,10,10,10,10,3.569053888320923,2026-07-30T21:36:13.142
25,subdivide,-0.395825564317169,0.5201405222019728,FiniteSolved,0.1783965518204439,true,continuation,cap_dominated,true,0.1783965518204439,0,10,10,10,10,3.571038007736206,2026-07-30T21:36:17.255
