idx,phase,g,GT,classification,Delta,within_budget,best_start,trigger_reason,lfd_ok,lfd_Delta,nStatus,unique_A_points,unique_inner_solves,n_fc_calls,n_ga_calls,wall_s,timestamp
1,anchor,-0.48546126592859407,6.290640522201974,FiniteSolved,0.48326468182383187,true,continuation,anchor_establish,true,0.48326468182383187,0,5,5,5,5,6.152055025100708,2026-07-30T20:42:29.088
2,expand,-0.47747907262672423,5.7906405222019846,FiniteSolved,0.3249165054177483,true,continuation,cap_dominated,true,0.3249165054177483,0,10,10,10,10,6.732496976852417,2026-07-30T20:42:40.646
3,expand,-0.46558486621799294,5.040640522201989,FiniteSolved,0.18864094784854113,true,continuation,cap_dominated,true,0.18864094784854113,0,10,10,10,10,5.613955020904541,2026-07-30T20:42:47.881
4,expand,-0.4479185486300204,3.9156405222019797,FiniteSolved,0.0725672631678484,true,continuation,cap_dominated,true,0.0725672631678484,0,10,10,10,10,6.541338920593262,2026-07-30T20:42:55.322
5,expand,-0.4218031735131824,2.2281405222019823,FiniteSolved,0.0014190578787679892,true,continuation,cap_dominated,true,0.0014190578787679892,0,10,10,10,10,6.493829965591431,2026-07-30T20:43:02.648
6,expand,-0.3914291122729736,0.22814052220198056,AboveEvaluationCap,33.047630479119704,false,continuation,not_finite,false,NaN,-999,2,2,2,2,0.5742440223693848,2026-07-30T20:43:03.266
7,polish,-0.41567895747130046,1.828140522201982,FiniteSolved,0.0017052633736026768,true,continuation,cap_dominated,true,0.0017052633736026766,0,10,10,10,10,6.143009901046753,2026-07-30T20:43:10.221
8,polish,-0.41079752406645204,1.508140522201984,FiniteSolved,0.007271285377063488,true,cellwise_compensated,cap_dominated,true,0.007271285377063487,0,10,10,10,10,6.356799840927124,2026-07-30T20:43:17.329
9,polish,-0.40690378280926964,1.2521405222019721,FiniteSolved,0.018314727940282067,true,cellwise_compensated,cap_dominated,true,0.018314727940282067,0,10,10,10,10,6.5468361377716064,2026-07-30T20:43:24.696
10,subdivide,-0.3991464921772636,0.7401405222019597,FiniteSolved,0.08694585910620792,true,cellwise_compensated,cap_dominated,true,0.08694585910620792,0,8,8,8,8,9.858206987380981,2026-07-30T21:25:02.779
11,subdivide,-0.3952828390678769,0.4841405222019701,FiniteSolved,0.16272197652960702,true,cellwise_compensated,poor_kkt,true,0.16272197652960702,0,148,148,148,94,76.38555598258972,2026-07-30T21:26:20.299
12,subdivide,-0.39335473806991483,0.35614052220197534,FiniteSolved,0.9898579533798418,false,continuation,cap_dominated,false,0.9898579533798417,0,12,12,12,12,4.527261018753052,2026-07-30T21:26:25.452
13,subdivide,-0.39431847877112897,0.42014052220197273,FiniteSolved,0.18160005508992402,true,continuation,poor_kkt,true,0.18160005508992402,0,145,145,190,96,69.3481080532074,2026-07-30T21:27:35.305
14,explore,-0.3876752385508516,-0.021859477798025218,InfiniteDeltaCertified,Inf,false,continuation,not_finite,false,NaN,-999,2,2,2,2,0.20702385902404785,2026-07-30T21:27:35.743
15,subdivide,-0.39383653102084504,0.38814052220197404,FiniteSolved,0.2342835484043603,true,continuation,cap_dominated,false,0.23428354840436028,0,12,12,12,12,4.424013137817383,2026-07-30T21:27:40.675
16,subdivide,-0.393595615201676,0.37214052220198024,FiniteSolved,0.28370629939245157,true,continuation,cap_dominated,false,0.28370629939245157,0,10,10,10,10,4.256802082061768,2026-07-30T21:27:45.481
17,subdivide,-0.393475171800646,0.36414052220196114,FiniteSolved,0.3206324505288821,true,continuation,cap_dominated,false,0.3206324505288821,0,10,10,10,10,8.492042064666748,2026-07-30T21:27:54.521
18,subdivide,-0.3934149537265901,0.36014052220196824,FiniteSolved,0.3438304599017858,true,continuation,cap_dominated,false,0.3438304599017858,0,12,12,12,12,7.843567132949829,2026-07-30T21:28:02.979
19,subdivide,-0.39407748553985067,0.40414052220195673,FiniteSolved,0.20311072753167486,true,continuation,cap_dominated,true,0.20311072753167486,0,10,10,10,10,6.829745054244995,2026-07-30T21:36:05.145
20,subdivide,-0.39395700344209106,0.39614052220195983,FiniteSolved,0.217115614859125,true,continuation,cap_dominated,false,0.21711561485912498,0,10,10,10,10,3.7965939044952393,2026-07-30T21:36:10.114
21,subdivide,-0.3940172432813096,0.40014052220196383,FiniteSolved,0.209761893380972,true,continuation,cap_dominated,false,0.209761893380972,0,10,10,10,10,4.0888049602508545,2026-07-30T21:36:14.791
