idx,phase,g,GT,classification,Delta,within_budget,best_start,trigger_reason,lfd_ok,lfd_Delta,nStatus,unique_A_points,unique_inner_solves,n_fc_calls,n_ga_calls,wall_s,timestamp
1,anchor,-0.48546126592859407,6.290640522201974,FiniteSolved,0.28800516972416207,true,trial,anchor_establish,true,0.28800516972416207,0,63,63,107,57,40.05944800376892,2026-07-30T20:37:17.833
2,expand,-0.47747907262672423,5.7906405222019846,FiniteSolved,0.20355123966389335,true,continuation,poor_kkt,true,0.20355123966389335,0,128,128,173,113,70.7625060081482,2026-07-30T20:38:33.024
3,expand,-0.46558486621799294,5.040640522201989,FiniteSolved,0.11825572501793144,true,continuation,poor_kkt,true,0.11825572501793143,0,133,133,222,107,65.93994307518005,2026-07-30T20:39:40.108
4,expand,-0.4479185486300204,3.9156405222019797,FiniteSolved,0.04483645174819279,true,continuation,poor_kkt,true,0.04483645174819279,0,140,140,185,101,64.31005096435547,2026-07-30T20:40:44.788
5,expand,-0.4218031735131824,2.2281405222019823,FiniteSolved,0.004171644914784038,true,cellwise_compensated,poor_kkt,true,0.004171644914784038,0,140,140,230,100,62.14513397216797,2026-07-30T20:41:47.212
6,expand,-0.3914291122729736,0.22814052220198056,AboveEvaluationCap,31.993167585437853,false,continuation,not_finite,false,NaN,-999,2,2,2,2,0.6639599800109863,2026-07-30T20:41:47.919
7,polish,-0.41567895747130046,1.828140522201982,FiniteSolved,0.005291643344770809,true,cellwise_compensated,poor_kkt,true,0.005291643344770809,0,140,140,140,102,46.55766701698303,2026-07-30T20:42:34.799
8,polish,-0.41079752406645204,1.508140522201984,FiniteSolved,0.006949330036360683,true,cellwise_compensated,poor_kkt,true,0.006949330036360683,0,132,132,221,108,64.90086007118225,2026-07-30T20:43:40.192
9,polish,-0.40690378280926964,1.2521405222019721,FiniteSolved,0.015238729401704695,true,cellwise_compensated,cap_dominated,true,0.015238729401704695,0,8,8,8,8,4.63198184967041,2026-07-30T20:43:45.478
10,subdivide,-0.3991464921772636,0.7401405222019597,FiniteSolved,0.05027915497730393,true,cellwise_compensated,poor_kkt,true,0.05027915497730393,0,143,143,143,99,62.84982490539551,2026-07-30T21:25:45.472
11,subdivide,-0.3952828390678769,0.4841405222019701,FiniteSolved,0.1451354220687038,true,continuation,cap_dominated,true,0.1451354220687038,0,10,10,10,10,4.470067024230957,2026-07-30T21:25:51.096
12,subdivide,-0.39335473806991483,0.35614052220197534,FiniteSolved,1.937188021120539,false,continuation,cap_dominated,false,1.9371880211205392,0,12,12,12,12,7.687129974365234,2026-07-30T21:25:59.467
13,subdivide,-0.39431847877112897,0.42014052220197273,FiniteSolved,0.28342492665577307,true,continuation,cap_dominated,false,0.28342492665577307,0,11,11,11,11,4.498260021209717,2026-07-30T21:26:04.564
14,explore,-0.3876752385508516,-0.021859477798025218,InfiniteDeltaCertified,Inf,false,continuation,not_finite,false,NaN,-999,2,2,2,2,0.0997312068939209,2026-07-30T21:26:04.751
15,subdivide,-0.39383653102084504,0.38814052220197404,FiniteSolved,0.5847817649756495,false,continuation,cap_dominated,false,0.5847817649756495,0,12,12,12,12,5.709097146987915,2026-07-30T21:26:11.066
16,subdivide,-0.39407748553985067,0.40414052220195673,FiniteSolved,0.3842586803002172,true,continuation,cap_dominated,false,0.3842586803002172,0,12,12,12,12,4.136960983276367,2026-07-30T21:26:15.775
17,subdivide,-0.39395700344209106,0.39614052220195983,FiniteSolved,0.4661353469413288,true,continuation,cap_dominated,false,0.4661353469413288,0,12,12,12,12,4.215728044509888,2026-07-30T21:26:20.566
18,subdivide,-0.393896766022001,0.39214052220196693,FiniteSolved,0.5199634979104173,false,continuation,cap_dominated,false,0.5199634979104173,0,12,12,12,12,4.126346111297607,2026-07-30T21:26:25.367
19,subdivide,-0.3948005814202725,0.45214052220197143,FiniteSolved,0.18913906877209366,true,continuation,cap_dominated,false,0.18913906877209366,0,12,12,12,12,6.514741897583008,2026-07-30T21:35:58.116
20,subdivide,-0.395041690863038,0.4681405222019541,FiniteSolved,0.16381982749338425,true,continuation,cap_dominated,true,0.16381982749338425,0,10,10,10,10,4.332721948623657,2026-07-30T21:36:03.564
21,subdivide,-0.3949211312971749,0.4601405222019572,FiniteSolved,0.17531697505068594,true,cellwise_compensated,cap_dominated,false,0.17531697505068594,0,10,10,10,10,4.154653072357178,2026-07-30T21:36:08.276
22,subdivide,-0.39498140986888913,0.4641405222019612,FiniteSolved,0.1693179502544277,true,cellwise_compensated,cap_dominated,false,0.1693179502544277,0,10,10,10,10,4.027681827545166,2026-07-30T21:36:12.938
