idx,phase,g,GT,classification,Delta,within_budget,best_start,trigger_reason,lfd_ok,lfd_Delta,nStatus,unique_A_points,unique_inner_solves,n_fc_calls,n_ga_calls,wall_s,timestamp
1,anchor,-0.48546126592859407,6.290640522201974,FiniteSolved,0.28800516972416207,true,trial,anchor_establish,true,0.28800516972416207,0,63,63,107,57,33.606789112091064,2026-07-30T20:37:02.629
2,expand,-0.4934861635209845,6.790640522201974,FiniteSolved,0.3552349776922968,true,cellwise_compensated,poor_kkt,true,0.3552349776922968,0,125,125,125,117,66.24775886535645,2026-07-30T20:38:12.659
3,expand,-0.5056045874033687,7.54064052220198,FiniteSolved,0.5500897706654468,false,cellwise_compensated,poor_kkt,true,0.5500897706654468,0,128,128,173,113,69.20286512374878,2026-07-30T20:39:23.022
4,polish,-0.5024800394867113,7.347843991894088,FiniteSolved,0.45737164796230184,true,continuation,poor_kkt,true,0.45737164796230184,0,137,137,137,105,69.96269989013672,2026-07-30T20:40:33.613
5,polish,-0.5039157824138307,7.436484681826139,FiniteSolved,0.433109925727112,true,cellwise_compensated,poor_kkt,true,0.43310992572711204,0,129,129,219,111,67.42806816101074,2026-07-30T20:41:41.689
6,polish,-0.5048812227460177,7.496041880780946,FiniteSolved,0.45169797882218266,true,continuation,cap_dominated,true,0.45169797882218266,0,10,10,10,10,5.693142890930176,2026-07-30T20:41:48.052
7,polish,-0.5052428614699913,7.518341201491463,FiniteSolved,0.45892696607057865,true,continuation,cap_dominated,true,0.45892696607057865,0,10,10,10,10,7.427738189697266,2026-07-30T21:24:44.650
8,polish,-0.505405824833301,7.528388070499236,FiniteSolved,0.46223669404445755,true,continuation,cap_dominated,true,0.46223669404445755,0,10,10,10,10,5.293542861938477,2026-07-30T21:24:51.208
9,polish,-0.5054912589296267,7.5336547395807525,FiniteSolved,0.46398252903401005,true,continuation,cap_dominated,true,0.46398252903401005,0,10,10,10,10,5.170804977416992,2026-07-30T21:24:57.013
10,explore,-0.5096659165901373,7.790640522201963,FiniteSolved,0.5619337351046267,false,continuation,cap_dominated,true,0.5619337351046267,0,10,10,10,10,5.8841259479522705,2026-07-30T21:25:03.519
11,polish,-0.5055386616246655,7.536576796053218,FiniteSolved,0.46495717972905826,true,continuation,cap_dominated,true,0.46495717972905826,0,10,10,10,10,5.722725868225098,2026-07-30T21:25:09.997
