family,block,nthreads,t_min_s,t_mean_s
flexible_cm,hessw_operator_prep,20,5.117e-6,0.00045864303947368426
flexible_cm,ddpsi,20,0.00054932,0.0010354582894736843
flexible_cm,misc_bookkeeping,20,0.002114648,0.002574338644736842
flexible_cm,H_EE,20,0.025872428,0.046418279605263166
flexible_cm,bintables_prep,20,0.122228715,0.17098918526315784
flexible_cm,H_EC_prep,20,0.042333228,0.0609183597631579
flexible_cm,H_EC_asm,20,0.003725201,0.006499126026315788
flexible_cm,H_CC,20,0.010212727,0.01612411290789473
flexible_cm,packing,20,0.004927614,0.006972535868421053
flexible_cm,inner_dual_hessian_callback_archC,20,0.227656667,0.31208006244736847
