basis,L,refIndex,point,ok,nStatus,d_total,rank_G,rank_deficiency,cond_hessian,inner_iters,max_abs_lambda_cm,max_abs_lambda_core,Delta_dual,wall_s
anchored,10,1,calib,true,0,48,47,1,36395.99875078901,4,0.10812538423977998,0.29486191517444216,0.003303450839273284,9.271337985992432
anchored,10,1,perturbed,true,0,48,48,0,53420.91637493087,5,0.1076370365663121,6.544828717274436,0.040318488555900395,0.035662174224853516
anchored,10,2,calib,true,0,48,47,1,36452.93268621205,4,0.10825545765861827,0.30687915935550686,0.003484754063772358,0.035407066345214844
anchored,10,2,perturbed,true,0,48,48,0,52952.02655414433,5,0.16415280524611764,6.555310782730764,0.04050515132970493,0.03955698013305664
anchored,10,3,calib,true,0,48,47,1,36858.25353672293,4,0.09776397490155397,0.31353833867464426,0.0031930602096065745,0.03690004348754883
anchored,10,3,perturbed,true,0,48,48,0,53394.80188221799,5,0.15067370110831507,6.562526320784471,0.04033597343302263,0.040090084075927734
anchored,10,4,calib,true,0,48,47,1,33464.557411948794,4,0.09470321568118421,0.3332058061002251,0.0027800851591128074,0.06991291046142578
anchored,10,4,perturbed,true,0,48,48,0,49724.944079610534,5,0.15500897322788446,6.609148984536633,0.040041650287636,0.03573417663574219
anchored,20,1,calib,true,0,78,77,1,62655.4964640737,4,0.144447422292034,0.3396642107299134,0.0050511425007728735,0.04598498344421387
anchored,20,1,perturbed,true,0,78,78,0,92645.06436554692,5,0.15199580948525032,6.585463836618112,0.042935145145090774,0.0604860782623291
anchored,20,2,calib,true,0,78,77,1,62504.28730722527,4,0.14460343542746848,0.33710987181670854,0.0045568676943515156,0.05497407913208008
anchored,20,2,perturbed,true,0,78,78,0,90471.74232303438,5,0.19799636679951316,6.605371927822741,0.042852226227475886,0.06506109237670898
anchored,20,3,calib,true,0,78,77,1,63268.24349524989,4,0.15459068616789454,0.3393801459423971,0.004825689846727839,0.04707193374633789
anchored,20,3,perturbed,true,0,78,78,0,91836.44315932377,5,0.1583781369556613,6.575826535233875,0.04289868436513894,0.05653500556945801
anchored,20,4,calib,true,0,78,77,1,59762.00972071065,4,0.15401640749999515,0.31089475793302596,0.005064397848559851,0.05076098442077637
anchored,20,4,perturbed,true,0,78,78,0,89284.83876601445,5,0.20114285280325778,6.587164712981608,0.04307960022591837,0.057196855545043945
anchored,50,1,calib,true,0,168,167,1,143685.7405774804,4,0.3085998002967334,0.3030744243203661,0.011505192697397606,0.10479497909545898
anchored,50,1,perturbed,true,0,168,168,0,215353.6015014774,5,0.34624716208433054,6.664899531420707,0.05034194800039922,0.13041400909423828
anchored,50,2,calib,true,0,168,167,1,142989.06657623075,4,0.24914670763476232,0.3237678265224101,0.010597318736518044,0.1456308364868164
anchored,50,2,perturbed,true,0,168,168,0,208000.33025819887,5,0.27964398135150403,6.733656053909128,0.05058933738580917,0.12799596786499023
anchored,50,3,calib,true,0,168,167,1,145048.17025622434,4,0.25160954049839174,0.3114972936889448,0.011460982962686708,0.11873912811279297
anchored,50,3,perturbed,true,0,168,168,0,212352.39040328955,5,0.2904729901626426,6.725025729160233,0.05108938885917017,0.13339900970458984
anchored,50,4,calib,true,0,168,167,1,140971.73638175445,4,0.2994221185370457,0.2899647211185204,0.011435621406078856,0.11460399627685547
anchored,50,4,perturbed,true,0,168,168,0,213064.2207133245,5,0.29801303566247495,6.675224865123669,0.05068992343067499,0.13896608352661133
orthonormal,10,1,calib,true,0,48,47,1,16297.294903696007,4,0.11010894282707452,0.29486191517443866,0.0033034508392732987,0.03506612777709961
orthonormal,10,1,perturbed,true,0,48,48,0,24704.22707713882,5,0.11802697511800639,6.5448287172744415,0.0403184885559005,0.07930707931518555
orthonormal,10,2,calib,true,0,48,47,1,16326.057034544241,4,0.12429587990762099,0.3068791593555129,0.0034847540637723863,0.09483098983764648
orthonormal,10,2,perturbed,true,0,48,48,0,24780.218753785473,5,0.17658758571073788,6.555310782730782,0.04050515132970512,0.03573799133300781
orthonormal,10,3,calib,true,0,48,47,1,16312.378477255674,4,0.12143189240845581,0.3135383386746451,0.0031930602096065653,0.03192305564880371
orthonormal,10,3,perturbed,true,0,48,48,0,24792.212689429016,5,0.16483588246697195,6.562526320784498,0.0403359734330227,0.036499977111816406
orthonormal,10,4,calib,true,0,48,47,1,16433.91950647994,4,0.10800611037319496,0.3332058061002406,0.0027800851591127944,0.03644585609436035
orthonormal,10,4,perturbed,true,0,48,48,0,24903.895231969243,5,0.18025277339328194,6.609148984536617,0.040041650287635754,0.03802180290222168
orthonormal,20,1,calib,true,0,78,77,1,22288.20253746117,4,0.16846818324726454,0.33966421072989417,0.005051142500772878,0.08805394172668457
orthonormal,20,1,perturbed,true,0,78,78,0,32657.87747786467,5,0.17779890956976213,6.585463836618065,0.042935145145090566,0.11342692375183105
orthonormal,20,2,calib,true,0,78,77,1,22402.48293923748,4,0.16618407797243062,0.337109871816704,0.004556867694351529,0.0519871711730957
orthonormal,20,2,perturbed,true,0,78,78,0,32856.76982625896,5,0.21958807109924755,6.605371927822749,0.042852226227475754,0.0694739818572998
orthonormal,20,3,calib,true,0,78,77,1,22372.62928817741,4,0.17961853303110703,0.3393801459423995,0.004825689846727838,0.04832100868225098
orthonormal,20,3,perturbed,true,0,78,78,0,32708.814145613844,5,0.1919009018344689,6.5758265352338325,0.04289868436513888,0.05295395851135254
orthonormal,20,4,calib,true,0,78,77,1,22556.20195562758,4,0.17053915679977671,0.3108947579330266,0.00506439784855984,0.055869102478027344
orthonormal,20,4,perturbed,true,0,78,78,0,33066.29264227878,5,0.21173048651482362,6.587164712981604,0.04307960022591865,0.09074711799621582
orthonormal,50,1,calib,true,0,168,167,1,42025.97800478254,4,0.35757830917323474,0.30307442432037296,0.011505192697397587,0.12328505516052246
orthonormal,50,1,perturbed,true,0,168,168,0,62066.38647710587,5,0.3877263025661906,6.66489953142073,0.05034194800039913,0.13535404205322266
orthonormal,50,2,calib,true,0,168,167,1,42182.81945268783,4,0.31508188338355836,0.32376782652241215,0.010597318736518039,0.10890603065490723
orthonormal,50,2,perturbed,true,0,168,168,0,62290.3369191203,5,0.35574373819199645,6.733656053909088,0.05058933738580877,0.18179893493652344
orthonormal,50,3,calib,true,0,168,167,1,42465.342393976316,4,0.28232460818783384,0.3114972936889344,0.011460982962686718,0.11608195304870605
orthonormal,50,3,perturbed,true,0,168,168,0,62662.40759251106,5,0.3073997227540995,6.725025729160242,0.05108938885917047,0.13378095626831055
orthonormal,50,4,calib,true,0,168,167,1,42547.02526003198,4,0.3391595645729602,0.28996472111851845,0.011435621406078875,0.10972809791564941
orthonormal,50,4,perturbed,true,0,168,168,0,63030.860097950615,5,0.34300823009071724,6.6752248651237,0.05068992343067469,0.1352989673614502
interval,10,1,calib,true,0,48,47,1,12313.534179295551,4,0.14638206390220923,0.2948619151744432,0.0033034508392732905,0.045539140701293945
interval,10,1,perturbed,true,0,48,48,0,19724.837644561412,5,0.2670512563431834,6.54482871727442,0.04031848855590077,0.03681588172912598
interval,10,2,calib,true,0,48,47,1,12720.560076385544,4,0.10587556314445006,0.306879159355503,0.003484754063772377,0.034481048583984375
