k,h,Dp,Dm,true_secant_asis,true_secant_corrected,fixed_dual_ref,fixed_dual_cp,nswitch_p,nswitch_m,sign_match_asis,sign_match_corrected
2,0.01,0.0038701137376461006,0.0043292058168449,0.02295460395993997,-0.02295460395993997,-0.019865678296556496,-0.019865678296555042,27,25,false,true
2,0.005,0.0034002188004508735,0.0035907769725584716,0.019055817210759808,-0.019055817210759808,-0.018159895211399987,-0.01815989521139487,14,15,false,true
2,0.002,0.003305325621765163,0.0033763519453363835,0.017756580892805168,-0.017756580892805168,-0.016490780485158462,-0.016490780485158462,7,7,false,true
2,0.001,0.00330208703859694,0.003327625081338105,0.012769021370582535,-0.012769021370582535,-0.012605260723824426,-0.012605260723832015,5,4,false,true
2,0.0005,0.0032978732662232134,0.0033164065845101834,0.01853331828696996,-0.01853331828696996,-0.017811633309541483,-0.017811633309522835,1,0,false,true
2,0.0002,0.00329967968134708,0.0033080284336065883,0.020871880648770484,-0.020871880648770484,-0.020871999796071017,-0.020871999796058006,0,0,false,true
2,0.0001,0.0033014644468032485,0.0033056388408011705,0.020871969989609898,-0.020871969989609898,-0.020871999776440452,-0.020871999776371063,0,0,false,true
3,0.01,0.003396187097040937,0.0035348154113175713,0.006931415713831712,-0.006931415713831712,-0.008811054292704009,-0.008811054292704052,18,11,false,true
3,0.005,0.003306680409080611,0.003391879648717496,0.008519923963688477,-0.008519923963688477,-0.010325228058610412,-0.010325228058609501,9,3,false,true
3,0.002,0.00330630898540326,0.003334229295140417,0.0069800774342893045,-0.0069800774342893045,-0.00891872290166649,-0.00891872290167137,6,0,false,true
3,0.001,0.0033010123210760944,0.0033178131510860106,0.00840041500495812,-0.00840041500495812,-0.008971155263757776,-0.008971155263757559,3,0,false,true
3,0.0005,0.0032998993053409724,0.0033103753171670838,0.01047601182611142,-0.01047601182611142,-0.010509607482030083,-0.010509607482036155,1,0,false,true
3,0.0002,0.0033008247652305906,0.003306159034171725,0.013335672352835469,-0.013335672352835469,-0.013335667026587129,-0.01333566702655894,0,0,false,true
3,0.0001,0.003302127537544811,0.0033047946712151874,0.013335668351882254,-0.013335668351882254,-0.013335667020308514,-0.01333566702038224,0,0,false,true
5,0.01,0.0031491928544117847,0.003526210161008258,0.018850865329823666,-0.018850865329823666,-0.01858324103612306,-0.01858324103612356,4,8,false,true
5,0.005,0.003223585975311182,0.0033903083314131043,0.016672235610192248,-0.016672235610192248,-0.016701356013033852,-0.016701356013032072,0,2,false,true
5,0.002,0.0032686831366532084,0.0033364852170592136,0.016950520101501314,-0.016950520101501314,-0.016951460219431325,-0.0169514602194323,0,1,false,true
5,0.001,0.00328559687587228,0.0033222447590417984,0.018323941584759158,-0.018323941584759158,-0.018323986209009633,-0.018323986209020256,0,0,false,true
5,0.0005,0.003294406346339975,0.0033127303212640543,0.018323974924079178,-0.018323974924079178,-0.018323986080132255,-0.018323986080120546,0,0,false,true
5,0.0002,0.0032998048415452575,0.0033071344352488923,0.018323984259086986,-0.018323984259086986,-0.01832398604406432,-0.01832398604404914,0,0,false,true
5,0.0001,0.003301623140494891,0.0033052879376134626,0.018323985592858406,-0.018323985592858406,-0.018323986039111683,-0.018323986039055305,0,0,false,true
16,0.01,0.0032153864739531374,0.003412422264552409,0.009851789529963587,-0.009851789529963587,-0.009578136107144126,-0.009578136107143346,1,7,false,true
16,0.005,0.0032478280980718275,0.0033564816636876987,0.01086535656158712,-0.01086535656158712,-0.01077236010569322,-0.010772360105693523,0,2,false,true
16,0.002,0.0032790143000400547,0.0033308024522984486,0.01294703806459848,-0.01294703806459848,-0.01294714556295364,-0.012947145562959388,0,0,false,true
16,0.001,0.0032908681047748287,0.003316762341928276,0.012947118576723659,-0.012947118576723659,-0.012947145451202213,-0.012947145451197876,0,0,false,true
16,0.0005,0.003297068365931408,0.0033100155046360924,0.012947138704684589,-0.012947138704684589,-0.012947145423284658,-0.012947145423261672,0,0,false,true
16,0.0002,0.003300875985766428,0.0033060548435026433,0.012947144340537918,-0.012947144340537918,-0.012947145415511362,-0.012947145415476667,0,0,false,true
16,0.0001,0.003302159768598979,0.0033047491976281166,0.012947145145688135,-0.012947145145688135,-0.01294714541439897,-0.012947145414329581,0,0,false,true
