arm,L,point,basis,Delta_dual,nu,mean_incr,zc_incr,max_mean_resid,max_pair_resid,max_abs_offdiag_cov,cond_H,t_build,t_solve,vmrss_gb,inner_status
cm_only,10,calibration,n/a,0.00367748,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.357614040374756,23.09868097305298,4.522,0
cm_plus_mean,10,calibration,direct,0.0037682702847561173,1.0,9.079028475611744e-05,NaN,7.771561172376096e-16,NaN,NaN,1.451131623523587e6,2.1821248531341553,11.888375997543335,5.931,0
cm_plus_mean,10,calibration,anchored,0.0037682702847561212,1.0,3.903127820947816e-18,NaN,7.771561172376096e-16,NaN,NaN,1.451131879132358e6,1.3560278415679932,11.739490985870361,6.394,0
cm_plus_mean_zero_covariance,10,calibration,direct,0.004763194092811628,1.0,NaN,0.000994923808055511,4.440892098500626e-16,6.661338147750939e-16,1.2212453270876722e-15,1.4624081665625304e6,1.83622407913208,18.424643993377686,8.885,0
cm_plus_mean_zero_covariance,10,calibration,anchored,0.004763194092811629,1.0,NaN,8.673617379884035e-19,4.440892098500626e-16,6.661338147750939e-16,1.2212453270876722e-15,6.565924597130245e6,1.5447931289672852,17.271095991134644,9.351,0
cm_only,10,existing_L50_incumbent,n/a,0.6994612,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.055041790008545,17.320590019226074,10.914,0
cm_plus_mean,10,existing_L50_incumbent,direct,0.7093240704767634,1.0,0.009862870476763375,NaN,1.4432899320127035e-15,NaN,NaN,3.0827744161862684e6,1.210325002670288,18.47341012954712,10.807,0
cm_plus_mean,10,existing_L50_incumbent,anchored,0.7093240704767629,1.0,-4.440892098500626e-16,NaN,7.771561172376096e-16,NaN,NaN,3.0828007345357127e6,1.258098840713501,19.252848863601685,12.49,0
cm_plus_mean_zero_covariance,10,existing_L50_incumbent,direct,0.7312665160847586,1.0,NaN,0.021942445607995187,2.6645352591003757e-15,2.886579864025407e-15,1.7763568394002505e-15,3.187672596941532e6,1.5296220779418945,29.658008813858032,14.507,0
cm_plus_mean_zero_covariance,10,existing_L50_incumbent,anchored,0.7312665160847587,1.0,NaN,1.1102230246251565e-16,1.5543122344752192e-15,1.5543122344752192e-15,1.9984014443252818e-15,4.434003740126659e6,1.5223979949951172,30.545679092407227,14.875,0
cm_only,50,calibration,n/a,0.00877471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.813642978668213,33.156776905059814,18.602,0
cm_plus_mean,50,calibration,direct,0.008914081302566561,1.0,0.00013937130256656133,NaN,4.440892098500626e-16,NaN,NaN,1.9338790895749573e6,3.290186882019043,19.52670907974243,19.435,0
cm_plus_mean,50,calibration,anchored,0.008914081302566575,1.0,1.3877787807814457e-17,NaN,4.440892098500626e-16,NaN,NaN,1.9340845713459516e6,3.312826156616211,20.30782198905945,22.115,0
cm_plus_mean_zero_covariance,50,calibration,direct,0.00990339613551091,1.0,NaN,0.0009893148329443487,6.661338147750939e-16,7.771561172376096e-16,1.6653345369377348e-15,1.9547946038422917e6,4.098383903503418,33.948878049850464,25.397,0
cm_plus_mean_zero_covariance,50,calibration,anchored,0.009903396135510924,1.0,NaN,1.3877787807814457e-17,4.440892098500626e-16,7.771561172376096e-16,1.2212453270876722e-15,6.730144114237491e6,3.3813648223876953,29.280688047409058,29.221,0
cm_only,50,existing_L50_incumbent,n/a,0.78758946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9294049739837646,56.672131061553955,31.607,0
cm_plus_mean,50,existing_L50_incumbent,direct,0.7943875823255875,1.0,0.006798122325587519,NaN,2.4424906541753444e-15,NaN,NaN,4.507085542451454e6,2.9521121978759766,37.55990481376648,32.343,0
cm_plus_mean,50,existing_L50_incumbent,anchored,0.7943875823255881,1.0,6.661338147750939e-16,NaN,1.5543122344752192e-15,NaN,NaN,4.507096499711646e6,3.191437005996704,37.278125047683716,35.009,0
cm_plus_mean_zero_covariance,50,existing_L50_incumbent,direct,0.8178021800852466,1.0,NaN,0.02341459775965915,2.4424906541753444e-15,3.1086244689504383e-15,1.6653345369377348e-15,4.47878849908464e6,3.4262678623199463,56.12237000465393,38.783,0
cm_plus_mean_zero_covariance,50,existing_L50_incumbent,anchored,0.8178021800852467,1.0,NaN,1.1102230246251565e-16,3.1086244689504383e-15,3.9968028886505635e-15,2.1094237467877974e-15,4.638557130168535e6,3.2326979637145996,55.749874114990234,42.542,0
