g,Delta,Delta_minus_delta,best_kind
0.994,0.5032930224030183,-0.4967069775969817,lower_incumbent
0.9945,0.5434762709907709,-0.4565237290092291,continuation
0.995,0.5898102079346815,-0.41018979206531847,continuation
0.9955,0.6441019104649595,-0.35589808953504054,continuation
0.996,0.708951269371165,-0.29104873062883496,continuation
0.9965,0.7883573296152067,-0.21164267038479334,continuation
0.997,0.888921623889463,-0.11107837611053695,continuation
0.9975,1.0225170170127802,0.022517017012780194,continuation
0.998,1.2133701822493546,0.21337018224935456,continuation
0.9985,1.5146987508016032,0.5146987508016032,continuation
0.999,2.066528050102546,1.066528050102546,continuation
