label,zfree_coord,h,Delta_central,Delta_right,Delta_left,gravity_p,gravity_m,gravity_0
upper_lfixcomposite_sr1_60s,2,0.01,-0.03618883624054714,0.07371768361519315,-0.14609535609628743,-3.469446951953614e-18,-2.4936649967166602e-18,-3.577867169202165e-18
upper_lfixcomposite_sr1_60s,2,0.05,-0.03868536376721021,0.6157605898428509,-0.6931313173772713,-4.228388472693467e-18,-4.336808689942018e-18,-3.577867169202165e-18
upper_lfixcomposite_sr1_60s,3,0.01,-0.011189757724427984,0.015711767690862466,-0.038091283139718435,-2.710505431213761e-18,-6.179952383167375e-18,-3.577867169202165e-18
upper_lfixcomposite_sr1_60s,3,0.05,-0.011167045582505253,0.1150759516497013,-0.1374100428147118,-4.553649124439119e-18,-3.903127820947816e-18,-3.577867169202165e-18
upper_lfixcomposite_sr1_60s,4,0.01,-0.11455705643106384,0.15151816583418576,-0.38063227869631344,-4.87890977618477e-18,-3.903127820947816e-18,-3.577867169202165e-18
upper_lfixcomposite_sr1_60s,4,0.05,0.08746920513805101,0.8534725913214869,-0.6785341810453849,-2.927345865710862e-18,-4.9873299934333204e-18,-3.577867169202165e-18
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,2,0.01,-0.10856984910593281,0.07826424544705723,-0.29540394365892286,-3.781155076543197e-18,-6.871131268126884e-18,-3.747273758653025e-18
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,2,0.05,-0.05620343174352449,0.40206923863471467,-0.5144761021217636,-7.020209066843641e-18,-4.379160337304733e-18,-3.747273758653025e-18
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,3,0.01,0.11979329322410193,0.2283124023582772,0.011274184089926642,-4.472333961502706e-18,-2.9070170749767588e-18,-3.747273758653025e-18
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,3,0.05,0.06566985982394469,0.16745348080397182,-0.03611376115608245,-5.200782296141404e-18,-5.285485590866834e-18,-3.747273758653025e-18
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,4,0.01,-0.10073368708117814,0.15585441873511297,-0.35732179289746924,-2.9544509200229996e-18,-2.4936649967166602e-18,-3.747273758653025e-18
lower_lfixcomposite_fast_sr1_300s_ORIGINAL,4,0.05,-0.03497428954058801,0.496655704057094,-0.56660428313827,-7.467442462993912e-18,-4.038653092508504e-18,-3.747273758653025e-18
lower_v2_c8finalverify,2,0.01,-0.24795300998942116,-0.13872326401610513,-0.3571827559627372,-5.827586677109586e-18,-3.686287386450715e-18,-5.637851296924623e-18
lower_v2_c8finalverify,2,0.05,-0.30347355039461066,0.15195121645786847,-0.7588983172470898,-5.664956351236761e-18,-3.604972223514302e-18,-5.637851296924623e-18
lower_v2_c8finalverify,3,0.01,-0.1086525045850939,-0.09413731404537273,-0.12316769512481507,-6.261267546103788e-18,-3.876022766635678e-18,-5.637851296924623e-18
lower_v2_c8finalverify,3,0.05,-0.0955240786241085,-0.025453312390983918,-0.16559484485723308,-7.697835424647081e-18,-6.207057437479513e-18,-5.637851296924623e-18
lower_v2_c8finalverify,4,0.01,-0.2733069740239069,-0.15510635476423396,-0.39150759328357987,-5.2583805365546965e-18,-4.689174395999807e-18,-5.637851296924623e-18
lower_v2_c8finalverify,4,0.05,-0.22859767078041937,0.2608166044355742,-0.7180119459964129,-4.255493527005605e-18,-1.951563910473908e-18,-5.637851296924623e-18
