label,lp1_status,feasible_exact,phase1_max_resid,classification
knitro_-300_failure_r0.1_s4,INFEASIBLE,false,0.027711877513061953,"CERTIFIED_INFEASIBLE (phase-I min max-residual = 0.02771 > 0)"
knitro_-300_failure_r0.1_s5,INFEASIBLE,false,0.0021303057409277773,"CERTIFIED_INFEASIBLE (phase-I min max-residual = 0.00213 > 0)"
knitro_-300_failure_r0.1_s6,INFEASIBLE,false,0.023068890040291504,"CERTIFIED_INFEASIBLE (phase-I min max-residual = 0.02307 > 0)"
knitro_-300_failure_r0.1_s8,INFEASIBLE,false,0.02141124781425353,"CERTIFIED_INFEASIBLE (phase-I min max-residual = 0.02141 > 0)"
knitro_-300_failure_r0.2_s1,OTHER_ERROR,false,9.666423532754889e-5,"CERTIFIED_INFEASIBLE (phase-I min max-residual = 9.666e-5 > 0)"
knitro_-300_failure_r0.2_s2,INFEASIBLE,false,0.0031162313779836484,"CERTIFIED_INFEASIBLE (phase-I min max-residual = 0.003116 > 0)"
knitro_-300_failure_r0.2_s3,INFEASIBLE,false,0.03426178355683364,"CERTIFIED_INFEASIBLE (phase-I min max-residual = 0.03426 > 0)"
knitro_-300_failure_r0.5_s1,INFEASIBLE,false,0.007651818861494249,"CERTIFIED_INFEASIBLE (phase-I min max-residual = 0.007652 > 0)"
knitro_-300_failure_r0.5_s2,INFEASIBLE,false,0.17025207866272457,"CERTIFIED_INFEASIBLE (phase-I min max-residual = 0.1703 > 0)"
knitro_-300_failure_r0.5_s3,INFEASIBLE,false,0.17586739340790353,"CERTIFIED_INFEASIBLE (phase-I min max-residual = 0.1759 > 0)"
knitro_success_r0.1_s1_SANITY_CHECK,OPTIMAL,true,NaN,"FEASIBLE_LP"
knitro_success_r0.1_s2_SANITY_CHECK,OPTIMAL,true,NaN,"FEASIBLE_LP"
knitro_success_r0.1_s3_SANITY_CHECK,OPTIMAL,true,NaN,"FEASIBLE_LP"
knitro_success_r0.2_s5_SANITY_CHECK,OPTIMAL,true,NaN,"FEASIBLE_LP"
