W,candidate,phase,gamma_focal_prime,kappa,Delta_dual,Delta_primal,gravity_value,runtime_seconds,feasible,inner_status,knitro_status,h_diagnostic,a_solution_key,note
8000,upper,reeval,0.8926359584642946,0.17245688540655113,1.1549660273013487,1.1549660273013471,-3.577867169202165e-18,6.352452039718628,false,0,,0.0009890005891329265,upper_W8000_reeval,cold_reeval_at_candidate_w
8000,lower,reeval,0.9973649883022927,0.004387827651021192,1.07799244268563,1.0779924426856198,-5.637851296924623e-18,0.027530908584594727,false,0,,0.0004276888666864264,lower_W8000_reeval,cold_reeval_at_candidate_w
20000,upper,reeval,0.8926359584642946,0.17245688540655113,1.1036031546848344,1.1036031546848462,-3.577867169202165e-18,0.062348127365112305,false,0,,0.0004209095147975211,upper_W20000_reeval,cold_reeval_at_candidate_w
20000,lower,reeval,0.9973649883022927,0.004387827651021192,1.1348103400279959,1.134810340027988,-5.637851296924623e-18,0.10630416870117188,false,0,,0.0003607606872985946,lower_W20000_reeval,cold_reeval_at_candidate_w
80000,upper,reeval,0.8926359584642946,0.17245688540655113,0.992770928755031,0.9927709287550175,-3.577867169202165e-18,0.27958202362060547,true,0,,4.1317434962259696e-5,upper_W80000_reeval,cold_reeval_at_candidate_w
80000,lower,reeval,0.9973649883022927,0.004387827651021192,1.1263906113950455,1.1263906113948097,-5.637851296924623e-18,0.3231799602508545,false,0,,9.67583416362494e-5,lower_W80000_reeval,cold_reeval_at_candidate_w
8000,upper,reopt,0.8947649321929896,0.16916472986804498,0.9997727894432153,0.9997727894430805,-7.589415207398531e-18,19.09255599975586,true,0,-103,0.0008338450430792065,upper_W8000_reopt,converged_best_feasible_tracked_cold_recheck
20000,upper,reopt,0.8929551709618717,0.17196360183555603,0.9996144976582827,0.9996144976582485,-2.5478751053409354e-18,90.11005902290344,true,0,-401,0.0007046828861827918,upper_W20000_reopt,best_feasible_stalled_at_budget_cold_recheck
80000,upper,reopt,0.891400919901631,0.17436430020615867,0.9999799196554174,0.999979919655346,-4.553649124439119e-18,400.2217481136322,true,0,-401,2.569032639346269e-5,upper_W80000_reopt,best_feasible_stalled_at_budget_cold_recheck
8000,lower,reopt,0.997288460411465,0.004515146723054864,0.998378656779394,0.9983786567793945,-8.429671891074797e-18,7.49722695350647,true,0,-103,0.00033438323069889803,lower_W8000_reopt,converged_best_feasible_tracked_cold_recheck
20000,lower,reopt,0.9973726801362282,0.0043750304248796335,0.9992376295848,0.9992376295847815,-8.023096076392733e-18,34.04257798194885,true,0,-102,0.0004101842773062691,lower_W20000_reopt,converged_best_feasible_tracked_cold_recheck
80000,lower,reopt,0.9971971337131348,0.004667077973486311,1.000000109779283,1.000000109779283,-4.780653954303271e-18,56.279189109802246,true,0,-101,0.00011190937663210775,lower_W80000_reopt,converged_best_feasible_tracked_cold_recheck
