radius,dir_idx,sign,gp,Delta,feasible,improved
0.0001,1,1.0,0.9968391744173478,1.0238328609654812,false,false
0.0001,1,-1.0,0.9966391744173478,0.9772961426816332,true,false
0.0001,2,1.0,0.9967391744173478,0.9999998709620874,true,false
0.0001,2,-1.0,0.9967391744173478,1.0000020684711313,false,false
0.0001,3,1.0,0.9967391744173478,1.0000006084218551,true,false
0.0001,3,-1.0,0.9967391744173478,1.0000011212562518,false,false
0.0001,4,1.0,0.9967391744173478,0.9999990335293016,true,false
0.0001,4,-1.0,0.9967391744173478,1.0000027967757001,false,false
0.0001,5,1.0,0.9967391744173478,0.9999984022771112,true,false
0.0001,5,-1.0,0.9967391744173478,1.0000033071152103,false,false
0.0001,6,1.0,0.9967391744173478,1.000275392715781,false,false
0.0001,6,-1.0,0.9967391744173478,0.9997264789587303,true,false
0.0001,7,1.0,0.9967391744173478,0.999232640195504,true,false
0.0001,7,-1.0,0.9967391744173478,1.0007702924153883,false,false
0.0001,8,1.0,0.9967391744173478,1.0002549636146716,false,false
0.0001,8,-1.0,0.9967391744173478,0.9997468846631047,true,false
0.0001,9,1.0,0.9967391744173478,1.0001763674370476,false,false
0.0001,9,-1.0,0.9967391744173478,0.9998254038578988,true,false
0.0001,10,1.0,0.9967391744173478,1.0000037956574024,false,false
0.0001,10,-1.0,0.9967391744173478,0.9999980069645552,true,false
0.0001,11,1.0,0.9967391744173478,1.0000029146901817,false,false
0.0001,11,-1.0,0.9967391744173478,0.9999988080603295,true,false
0.0001,12,1.0,0.9967391744173478,1.0000093809332062,false,false
0.0001,12,-1.0,0.9967391744173478,0.9999926037599114,true,false
0.0001,13,1.0,0.9967391744173478,0.9999995530278972,true,false
0.0001,13,-1.0,0.9967391744173478,1.0000021553065612,false,false
0.0001,14,1.0,0.9967391744173478,0.9999964499048934,true,false
0.0001,14,-1.0,0.9967391744173478,1.00000525888754,false,false
0.0001,15,1.0,0.9967391744173478,1.000001392913027,false,false
0.0001,15,-1.0,0.9967391744173478,1.0000003128671668,true,false
0.0001,16,1.0,0.9967391744173478,0.9999981750507287,true,false
0.0001,16,-1.0,0.9967391744173478,1.000003532674155,false,false
0.0001,17,1.0,0.9967105156913323,0.9930225292770083,true,false
0.0001,17,-1.0,0.9967678331433634,1.007082106432959,false,false
0.0001,18,1.0,0.9967372419720899,0.9997627162614507,true,false
0.0001,18,-1.0,0.9967411068626058,1.0002391103220465,false,false
0.0001,19,1.0,0.996741922957452,1.000393654290993,false,false
0.0001,19,-1.0,0.9967364258772436,0.9996084319558189,true,false
0.0001,20,1.0,0.9967372981620332,0.9993265264929312,true,false
0.0001,20,-1.0,0.9967410506726625,1.0006761129445363,false,false
