budget,label,grad,hess,rep,resdir,wall_wrapper,exitcode,knitro_status,outer_iters,n_eval,gradient_calls,n_cheap,total_inner_solves_in_gradients,compressed_fallback_count,best_kappa,time_to_first_feasible_s
15.0,lfixcomposite_sr1_dense,lfix_composite,sr1,dense,optfdc8_lower_lfix_composite_sr1_dense_20260718_163907,79.4,0,-401,0,1,1,1,1,0,0.06420809457817289,NaN
15.0,lfixcomposite_sr1_compressed,lfix_composite,sr1,compressed,optfdc8_lower_lfix_composite_sr1_compressed_20260718_164027,82.2,0,-401,0,1,1,1,1,0,0.06420809457817289,NaN
15.0,lfixcomposite_lbfgs_compressed,lfix_composite,lbfgs,compressed,optfdc8_lower_lfix_composite_lbfgs_compressed_20260718_164149,75.6,0,-401,0,1,1,1,1,0,0.06420809457817289,NaN
15.0,deltafd_lbfgs_dense,delta_fd,lbfgs,dense,optfdc8_lower_delta_fd_lbfgs_dense_20260718_164304,72.5,0,-401,7,310,8,0,262,0,0.005681780038155226,NaN
15.0,smoothed_ad_sr1,smoothed_ad,sr1,dense,optfdc8_lower_smoothed_ad_sr1_dense_20260718_164416,82.6,0,-401,54,427,55,0,55,0,0.005255408623561775,NaN
30.0,lfixcomposite_sr1_dense,lfix_composite,sr1,dense,optfdc8_lower_lfix_composite_sr1_dense_20260718_164540,87.5,0,-102,51,374,50,50,50,0,0.005428799948779983,NaN
30.0,lfixcomposite_sr1_compressed,lfix_composite,sr1,compressed,optfdc8_lower_lfix_composite_sr1_compressed_20260718_164707,86.9,0,-102,50,359,49,49,49,0,0.0054287999489507355,NaN
30.0,lfixcomposite_lbfgs_compressed,lfix_composite,lbfgs,compressed,optfdc8_lower_lfix_composite_lbfgs_compressed_20260718_164835,82.2,0,-101,25,158,26,26,26,0,0.004634148517618675,NaN
30.0,deltafd_lbfgs_dense,delta_fd,lbfgs,dense,optfdc8_lower_delta_fd_lbfgs_dense_20260718_164957,90.3,0,-401,24,1057,25,0,823,0,0.00558877192727647,NaN
30.0,smoothed_ad_sr1,smoothed_ad,sr1,dense,optfdc8_lower_smoothed_ad_sr1_dense_20260718_165126,95.8,0,-401,142,846,143,0,143,0,0.005066944000066909,NaN
60.0,lfixcomposite_sr1_dense,lfix_composite,sr1,dense,optfdc8_lower_lfix_composite_sr1_dense_20260718_165303,92.0,0,-102,51,374,50,50,50,0,0.005428799948779983,NaN
60.0,lfixcomposite_sr1_compressed,lfix_composite,sr1,compressed,optfdc8_lower_lfix_composite_sr1_compressed_20260718_165434,89.5,0,-102,50,359,49,49,49,0,0.0054287999489507355,NaN
60.0,lfixcomposite_lbfgs_compressed,lfix_composite,lbfgs,compressed,optfdc8_lower_lfix_composite_lbfgs_compressed_20260718_165604,86.0,0,-101,25,158,26,26,26,0,0.004634148517618675,NaN
60.0,deltafd_lbfgs_dense,delta_fd,lbfgs,dense,optfdc8_lower_delta_fd_lbfgs_dense_20260718_165730,98.3,0,-101,41,1750,41,0,1351,0,0.005588769450202702,NaN
60.0,smoothed_ad_sr1,smoothed_ad,sr1,dense,optfdc8_lower_smoothed_ad_sr1_dense_20260718_165907,125.7,0,-401,389,2167,390,0,390,0,0.005066944000066909,NaN
120.0,lfixcomposite_sr1_dense,lfix_composite,sr1,dense,optfdc8_lower_lfix_composite_sr1_dense_20260718_170114,93.6,0,-102,51,374,50,50,50,0,0.005428799948779983,NaN
120.0,lfixcomposite_sr1_compressed,lfix_composite,sr1,compressed,optfdc8_lower_lfix_composite_sr1_compressed_20260718_170248,86.7,0,-102,50,359,49,49,49,0,0.0054287999489507355,NaN
120.0,lfixcomposite_lbfgs_compressed,lfix_composite,lbfgs,compressed,optfdc8_lower_lfix_composite_lbfgs_compressed_20260718_170415,85.1,0,-101,25,158,26,26,26,0,0.004634148517618675,NaN
120.0,deltafd_lbfgs_dense,delta_fd,lbfgs,dense,optfdc8_lower_delta_fd_lbfgs_dense_20260718_170539,101.7,0,-101,41,1750,41,0,1351,0,0.005588769450202702,NaN
120.0,smoothed_ad_sr1,smoothed_ad,sr1,dense,optfdc8_lower_smoothed_ad_sr1_dense_20260718_170721,188.4,0,-401,777,4162,778,0,778,0,0.005066944000066909,NaN
300.0,lfixcomposite_sr1_dense,lfix_composite,sr1,dense,optfdc8_lower_lfix_composite_sr1_dense_20260718_171030,89.8,0,-102,51,374,50,50,50,0,0.005428799948779983,NaN
300.0,lfixcomposite_sr1_compressed,lfix_composite,sr1,compressed,optfdc8_lower_lfix_composite_sr1_compressed_20260718_171200,92.5,0,-102,50,359,49,49,49,0,0.0054287999489507355,NaN
300.0,lfixcomposite_lbfgs_compressed,lfix_composite,lbfgs,compressed,optfdc8_lower_lfix_composite_lbfgs_compressed_20260718_171332,81.8,0,-101,25,158,26,26,26,0,0.004634148517618675,NaN
300.0,deltafd_lbfgs_dense,delta_fd,lbfgs,dense,optfdc8_lower_delta_fd_lbfgs_dense_20260718_171453,102.5,0,-101,41,1750,41,0,1351,0,0.005588769450202702,NaN
300.0,smoothed_ad_sr1,smoothed_ad,sr1,dense,optfdc8_lower_smoothed_ad_sr1_dense_20260718_171635,362.6,0,-401,2275,11862,2276,0,2276,0,0.005066944000066909,NaN
