budget,label,grad,hess,rep,resdir,wall_wrapper,exitcode,knitro_status,outer_iters,n_eval,gradient_calls,n_cheap,total_inner_solves_in_gradients,compressed_fallback_count,best_kappa,time_to_first_feasible_s
15.0,lfixcomposite_sr1_dense,lfix_composite,sr1,dense,optfdc8_upper_lfix_composite_sr1_dense_20260718_163827,73.2,0,-401,0,1,1,1,1,0,0.06420809457817289,NaN
15.0,lfixcomposite_sr1_compressed,lfix_composite,sr1,compressed,optfdc8_upper_lfix_composite_sr1_compressed_20260718_163941,77.3,0,-401,0,1,1,1,1,0,0.06420809457817289,NaN
15.0,lfixcomposite_lbfgs_compressed,lfix_composite,lbfgs,compressed,optfdc8_upper_lfix_composite_lbfgs_compressed_20260718_164058,74.7,0,-401,0,1,1,1,1,0,0.06420809457817289,NaN
15.0,deltafd_lbfgs_dense,delta_fd,lbfgs,dense,optfdc8_upper_delta_fd_lbfgs_dense_20260718_164213,77.7,0,-401,5,201,6,0,192,0,0.1475226526764667,NaN
15.0,smoothed_ad_sr1,smoothed_ad,sr1,dense,optfdc8_upper_smoothed_ad_sr1_dense_20260718_164330,79.8,0,-401,85,324,86,0,86,0,0.16703548435183369,NaN
30.0,lfixcomposite_sr1_dense,lfix_composite,sr1,dense,optfdc8_upper_lfix_composite_sr1_dense_20260718_164450,87.5,0,-411,66,226,67,67,67,0,0.1722140407466165,NaN
30.0,lfixcomposite_sr1_compressed,lfix_composite,sr1,compressed,optfdc8_upper_lfix_composite_sr1_compressed_20260718_164618,89.3,0,-401,65,222,66,66,66,0,0.17216941087303816,NaN
30.0,lfixcomposite_lbfgs_compressed,lfix_composite,lbfgs,compressed,optfdc8_upper_lfix_composite_lbfgs_compressed_20260718_164747,90.7,0,-401,64,316,65,65,65,0,0.17234474655146004,NaN
30.0,deltafd_lbfgs_dense,delta_fd,lbfgs,dense,optfdc8_upper_delta_fd_lbfgs_dense_20260718_164918,91.7,0,-401,32,1119,33,0,1056,0,0.17032349437469818,NaN
30.0,smoothed_ad_sr1,smoothed_ad,sr1,dense,optfdc8_upper_smoothed_ad_sr1_dense_20260718_165048,93.1,0,-401,217,845,218,0,218,0,0.16703548435183369,NaN
60.0,lfixcomposite_sr1_dense,lfix_composite,sr1,dense,optfdc8_upper_lfix_composite_sr1_dense_20260718_165223,104.1,0,-103,113,474,114,114,114,0,0.17245688540655113,NaN
60.0,lfixcomposite_sr1_compressed,lfix_composite,sr1,compressed,optfdc8_upper_lfix_composite_sr1_compressed_20260718_165407,106.2,0,-103,150,543,151,151,151,0,0.1724951449325095,NaN
60.0,lfixcomposite_lbfgs_compressed,lfix_composite,lbfgs,compressed,optfdc8_upper_lfix_composite_lbfgs_compressed_20260718_165553,95.2,0,-103,69,344,70,70,70,0,0.17234474655146192,NaN
60.0,deltafd_lbfgs_dense,delta_fd,lbfgs,dense,optfdc8_upper_delta_fd_lbfgs_dense_20260718_165729,106.4,0,-102,54,1953,53,0,1696,0,0.17177447179709882,NaN
60.0,smoothed_ad_sr1,smoothed_ad,sr1,dense,optfdc8_upper_smoothed_ad_sr1_dense_20260718_165914,123.1,0,-401,420,2124,421,0,421,0,0.16703548435183369,NaN
120.0,lfixcomposite_sr1_dense,lfix_composite,sr1,dense,optfdc8_upper_lfix_composite_sr1_dense_20260718_170117,97.3,0,-103,113,474,114,114,114,0,0.17245688540655113,NaN
120.0,lfixcomposite_sr1_compressed,lfix_composite,sr1,compressed,optfdc8_upper_lfix_composite_sr1_compressed_20260718_170255,103.5,0,-103,150,543,151,151,151,0,0.1724951449325095,NaN
120.0,lfixcomposite_lbfgs_compressed,lfix_composite,lbfgs,compressed,optfdc8_upper_lfix_composite_lbfgs_compressed_20260718_170438,89.8,0,-103,69,344,70,70,70,0,0.17234474655146192,NaN
120.0,deltafd_lbfgs_dense,delta_fd,lbfgs,dense,optfdc8_upper_delta_fd_lbfgs_dense_20260718_170608,105.2,0,-102,54,1953,53,0,1696,0,0.17177447179709882,NaN
120.0,smoothed_ad_sr1,smoothed_ad,sr1,dense,optfdc8_upper_smoothed_ad_sr1_dense_20260718_170753,183.4,0,-401,919,4406,920,0,920,0,0.16723256479894355,NaN
300.0,lfixcomposite_sr1_dense,lfix_composite,sr1,dense,optfdc8_upper_lfix_composite_sr1_dense_20260718_171057,102.5,0,-103,113,474,114,114,114,0,0.17245688540655113,NaN
300.0,lfixcomposite_sr1_compressed,lfix_composite,sr1,compressed,optfdc8_upper_lfix_composite_sr1_compressed_20260718_171240,107.2,0,-103,150,543,151,151,151,0,0.1724951449325095,NaN
300.0,lfixcomposite_lbfgs_compressed,lfix_composite,lbfgs,compressed,optfdc8_upper_lfix_composite_lbfgs_compressed_20260718_171426,93.1,0,-103,69,344,70,70,70,0,0.17234474655146192,NaN
300.0,deltafd_lbfgs_dense,delta_fd,lbfgs,dense,optfdc8_upper_delta_fd_lbfgs_dense_20260718_171600,103.1,0,-102,54,1953,53,0,1696,0,0.17177447179709882,NaN
300.0,smoothed_ad_sr1,smoothed_ad,sr1,dense,optfdc8_upper_smoothed_ad_sr1_dense_20260718_171743,368.0,0,-401,2474,9708,2475,0,2475,0,0.16723256479894355,NaN
