idx,kind,gamma_focal_prime,Delta,feasible,inner_status,gravity_value
1,F,0.9609650007465946,0.0010029941762691274,true,0,-6.992571199895687e-18
2,F,0.8533077873854227,NaN,false,-300,NaN
3,F,0.9071363940660087,1.2975009794115515,false,0,-5.706672723889035e-18
4,F,0.9340506974063016,0.20168730991834233,true,0,-5.60894629759957e-18
5,F,0.9250697208391265,0.3868045385179178,true,0,-6.6542908336297835e-18
6,F,0.9024120629381553,1.674064068572621,false,0,-6.342582709040201e-18
7,F,0.9194636803804017,0.5451654455621154,true,0,-7.724940478959219e-18
8,F,0.9085866275310306,1.0078186845389863,false,0,-7.223496974184673e-18
9,F,0.912815216442837,0.7815579151041978,true,0,-5.868244258577793e-18
10,F,0.9070780166503611,1.033242270107205,false,0,-9.025983085941824e-18
11,F,0.9084631510863534,0.9529227154700439,true,0,-6.3696877633523385e-18
12,F,0.904023631020128,1.0629346659450076,false,0,-8.782037597132586e-18
13,F,0.9056883435563402,0.9891532428869614,true,0,-4.336808689942018e-18
14,F,0.8652098250455038,NaN,false,-300,NaN
15,F,0.8854490843009221,2.8759087773003738,false,0,-5.637851296924623e-18
16,F,0.8955687139286311,1.2766888734153776,false,0,-7.48099499014998e-18
17,F,0.9006285287424857,1.0496586826791812,false,0,-5.637851296924623e-18
18,F,0.872896081525131,NaN,false,-300,NaN
19,F,0.889083081358459,1.758405598461805,false,0,-9.324138683375338e-18
20,F,0.8968282445928566,1.4387361694252752,false,0,-8.023096076392733e-18
21,F,0.8971789178141446,1.147897748204168,false,0,-4.662069341687669e-18
22,F,0.8987748027786916,1.0034815344895538,false,0,-8.673617379884035e-18
23,F,0.9012315209587316,1.0143923120552396,false,0,-6.0173220572945496e-18
24,F,0.9014838947676347,0.9937798118811346,true,0,-4.4994390158148434e-18
25,F,0.880485429286934,NaN,false,-300,NaN
26,F,0.8909846620272843,1.4665443904671915,false,0,-4.119968255444917e-18
27,F,0.8962342783974595,1.0884506231852762,false,0,-4.4994390158148434e-18
28,F,0.8988590865825471,1.0092584170687946,false,0,-7.860465750519907e-18
29,F,0.898445755172361,1.2345846113346293,false,0,-7.535205098774256e-18
30,F,0.9016961546836266,1.4057981138339235,false,0,-6.071532165918825e-18
31,F,0.8995170146933819,1.1769633778402908,false,0,-6.7220534694101275e-18
32,F,0.9020139527758548,1.2028225225080478,false,0,-5.800481622797449e-18
33,F,0.9003849135778913,1.0842132647502483,false,0,-6.5052130349130266e-18
34,F,0.9016512137958681,1.0410806422548897,false,0,-9.486769009248164e-18
35,F,0.9009644349132454,1.0126326528813097,false,0,-8.51098705401121e-18
36,F,0.9012751688740435,0.9954316331421865,true,0,-7.535205098774256e-18
37,F,0.8934221026171068,1.2251011800500287,false,0,-6.938893903907228e-18
38,F,0.8994809679026535,0.9333173517155698,true,0,-2.710505431213761e-18
39,F,0.8828635103138107,15.79264365731947,false,0,-5.854691731421724e-18
40,F,0.8911722391082321,1.299681394161103,false,0,-6.179952383167375e-18
41,F,0.8953266035054428,1.0230280873529445,false,0,-4.228388472693467e-18
42,F,0.8974037857040482,0.955900919678545,true,0,-7.48099499014998e-18
43,F,0.85298998131021,NaN,false,-300,NaN
44,F,0.8751968835071291,NaN,false,-300,NaN
45,F,0.8863003346055887,2.380214620568904,false,0,-4.336808689942018e-18
46,F,0.8918520601548184,1.2370001521885816,false,0,-9.75781955236954e-18
