component,n,median_ms,mean_ms,min_ms,max_ms,std_ms
TOTAL,6,1874.666345,1878.6839836666666,1824.193374,1954.551621,42.26445073354175
inner_moment_build,6,1275.8431735,1276.915494,1227.166295,1342.322005,37.49187080512609
winner_compute,6,277.89463950000004,278.3051906666667,273.956751,283.522504,3.2230666837492348
moments_reuse,6,128.468768,127.47720483333333,124.778739,129.135598,1.9442284518399964
inner_knitro_dual_solve,6,60.329008,63.93757466666668,54.410919,87.708895,11.887886664158648
inner_dual_fg_callback,6,51.76422,55.33894016666666,45.839149000000006,79.076067,11.869133128340323
kkt_residual_compute,6,48.8804275,49.42746116666667,48.324158,52.508252999999996,1.5478646993816239
moment_resid_compute,6,47.5420675,47.737536,47.251117,48.813416,0.5778764855132962
primal_weight_recovery,6,27.6340295,26.138149166666665,23.035554,27.681226,2.351114828357681
primal_divergence_compute,6,0.83804,0.8328548333333334,0.8201890000000001,0.840577,0.009489523031568366
gravity_compute,6,0.07330149999999999,0.07619533333333332,0.062277,0.09646300000000001,0.01335689632611808
reconstruct_full,6,0.002056,0.0021013333333333335,0.001625,0.002683,0.0003850058008221002
