component,n,median_ms,mean_ms,min_ms,max_ms,std_ms
TOTAL,4,11278.564039,13551.091233250001,10938.236691,20977.259352,4952.943807330754
inner_dual_hessian_callback_compressed,2,6202.642509,6202.642509,4880.33793,7524.947088,1870.021069209846
winner_compute_compressed,4,3208.2498025,3232.91272175,3113.686253,3401.465029,124.8297831873751
materialize_dense_for_postproc,3,2653.95604,2653.2102960000007,2644.948416,2660.726432,7.915399409329672
inner_moment_build_compressed,4,2441.604906,2429.0468455,2385.8612,2447.1163699999997,29.225920705149797
moments_reuse_compressed,4,1434.5781865000001,1438.894145,1347.7221319999999,1538.698075,86.12780220019178
kkt_residual_compute_compressed,4,496.3028775,497.837156,494.45410200000003,504.288767,4.484861080694115
moment_resid_compute_compressed,4,470.8339255,471.59253599999994,463.32544399999995,481.376849,7.575969347875918
primal_weight_recovery_compressed,4,237.876799,238.67805550000003,237.33358299999998,241.625041,2.0001362759281447
inner_knitro_dual_solve_compressed,4,88.03865950000001,3228.8135194999995,80.032268,12659.144491,6286.8884591771675
inner_dual_fg_callback_compressed,6,79.1065695,78.00393983333333,71.381635,79.919748,3.294370473209072
primal_divergence_compute_compressed,4,7.531080000000001,7.519103,7.199701,7.814551,0.28022525594837666
gravity_compute_compressed,4,0.076509,0.07662275,0.06766399999999999,0.08580900000000001,0.0075127340507079535
reconstruct_full_compressed,4,0.0048825000000000006,0.00500325,0.0047480000000000005,0.0055,0.0003415253772903753
