component,n,median_ms,mean_ms,min_ms,max_ms,std_ms
TOTAL,4,18862.473111,28676.006357,18689.875799999998,58459.654966,19855.930393232
inner_moment_build,4,12259.9448565,12271.134924000002,12221.13022,12343.519763,55.084056041236614
inner_dual_hessian_callback,7,5114.948248,5113.246159714286,5100.982608,5119.404004,6.083950548932727
winner_compute,4,3221.9764849999997,3225.33723325,3206.936932,3250.4590310000003,18.65688537493884
moments_reuse,4,1443.4474975,1445.921462,1406.659613,1490.13124,34.2073445651828
inner_dual_fg_callback,11,554.714514,545.9790611818181,528.774864,556.6490160000001,13.058429901462977
inner_knitro_dual_solve,4,539.3459855,10469.085808000002,537.2345819999999,40260.416679,19860.887291746036
kkt_residual_compute,4,496.5387825,496.34919974999997,494.835474,497.48376,1.1223091218781518
moment_resid_compute,4,467.184013,467.57043250000004,464.802629,471.11107499999997,2.7255969870755994
primal_weight_recovery,4,278.87827649999997,278.97941425,278.72847,279.432634,0.3159402343844798
primal_divergence_compute,4,7.3866235,7.3943885,7.18813,7.616177,0.1938970300829799
gravity_compute,4,0.0840015,0.08340249999999999,0.066208,0.099399,0.017101724523177965
reconstruct_full,4,0.0078405,0.007594250000000001,0.003406,0.01129,0.003274394842308015
