point,W,scheme,rep,seed,pairwise_infeasible,winner_scan_feasible,n_zero_win_pairs,n_positive_share_pairs,worst_slack,t_draw,t_ctx
calibration,8000,plain,1,800001001,true,false,9,400,-1.5424586125890594,0.19423913955688477,3.748957872390747
calibration,8000,plain,2,800002001,true,false,3,400,-0.8707823876893466,0.002231121063232422,3.319735050201416
calibration,8000,plain,3,800003001,true,false,1,400,-1.0301924100946955,0.0028247833251953125,3.394767999649048
calibration,8000,plain,4,800004001,true,false,1,400,-0.7375853553736826,0.0022461414337158203,3.1143229007720947
calibration,8000,plain,5,800005001,true,false,5,400,-0.914168159818356,0.002209901809692383,3.1081860065460205
calibration,8000,plain,6,800006001,true,false,1,400,-0.8679628862968016,0.0022118091583251953,3.3605380058288574
calibration,8000,plain,7,800007001,true,false,1,400,-0.052685510085057174,0.0020978450775146484,3.3797709941864014
calibration,8000,plain,8,800008001,true,false,2,400,-0.24485793487742935,0.002096891403198242,1.326111078262329
calibration,8000,plain,9,800009001,true,false,5,400,-0.4785358821676233,0.002125978469848633,3.250223159790039
calibration,8000,plain,10,800010001,false,false,3,400,0.023699040433109886,0.0026051998138427734,3.2327539920806885
calibration,8000,plain,11,800011001,true,false,9,400,-1.0451240093544802,0.002429962158203125,3.0387699604034424
calibration,8000,plain,12,800012001,true,false,8,400,-0.6465075906981674,0.0023241043090820312,3.030263900756836
calibration,8000,plain,13,800013001,true,false,5,400,-1.2301797108943706,0.002092123031616211,3.1950480937957764
calibration,8000,plain,14,800014001,true,false,10,400,-0.4136659242412062,0.0021140575408935547,3.0120511054992676
calibration,8000,plain,15,800015001,true,false,4,400,-0.43356861592338447,0.0021190643310546875,3.1976959705352783
calibration,8000,stratified,1,800001002,true,false,3,400,-0.84699503277837,0.09457182884216309,3.3964169025421143
calibration,8000,stratified,2,800002002,false,false,1,400,0.07814742181251866,0.003818988800048828,3.356207847595215
calibration,8000,stratified,3,800003002,false,true,0,400,0.20861697368436083,0.003975868225097656,3.408000946044922
calibration,8000,stratified,4,800004002,false,true,0,400,0.06956565820546956,0.004549980163574219,3.385239839553833
calibration,8000,stratified,5,800005002,true,false,1,400,-1.2090731709885798,0.004263877868652344,3.392327070236206
calibration,8000,stratified,6,800006002,false,false,1,400,0.3428815834532113,0.003937959671020508,3.3824169635772705
calibration,8000,stratified,7,800007002,true,false,2,400,-0.5219127319911845,0.004275798797607422,3.448827028274536
calibration,8000,stratified,8,800008002,true,false,1,400,-0.27688692532236203,0.004578113555908203,3.499589204788208
calibration,8000,stratified,9,800009002,true,false,2,400,-0.22630940698992852,0.0038080215454101562,3.4039199352264404
calibration,8000,stratified,10,800010002,true,false,2,400,-0.5057354807824073,0.004225969314575195,3.460317850112915
calibration,8000,stratified,11,800011002,true,false,1,400,-0.07713207481636175,0.0038008689880371094,3.3937630653381348
calibration,8000,stratified,12,800012002,true,false,1,400,-0.6355337686069689,0.004208803176879883,3.6132280826568604
calibration,8000,stratified,13,800013002,true,false,3,400,-0.5779205720901182,0.003993034362792969,3.227519989013672
