point,W,scheme,n_reps,mean_n_zero,std_n_zero,min_n_zero,max_n_zero,frac_fully_feasible,frac_pairwise_infeasible,frac_winner_scan_feasible,mean_t_draw,mean_t_ctx
calibration,8000,plain,15,4.466666666666667,3.2041639575194445,1,10,0.0,0.9333333333333333,0.0,0.015064541498819988,3.1139464060465496
calibration,8000,stratified,15,1.3333333333333333,0.8997354108424372,0,3,0.13333333333333333,0.7333333333333333,0.13333333333333333,0.010122934977213541,3.4141948382059732
calibration,20000,plain,15,0.4,0.6324555320336759,0,2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.005997880299886068,4.137130037943522
calibration,20000,stratified,15,0.06666666666666667,0.25819888974716115,0,1,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.028412278493245444,4.917377996444702
calibration,40000,plain,12,0.0,0.0,0,0,1.0,0.0,1.0,0.015254894892374674,8.028138021628061
calibration,40000,stratified,12,0.0,0.0,0,0,1.0,0.0,1.0,0.020580589771270752,8.309857149918875
calibration,80000,plain,10,0.0,0.0,0,0,1.0,0.0,1.0,0.026802778244018555,14.889482498168945
calibration,80000,stratified,10,0.0,0.0,0,0,1.0,0.0,1.0,0.042593193054199216,14.592586088180543
upper_candidate,8000,plain,15,3.2666666666666666,2.0517124090680467,0,8,0.06666666666666667,0.9333333333333333,0.06666666666666667,0.002238003412882487,3.0641456762949626
upper_candidate,8000,stratified,15,1.2666666666666666,0.961150104723255,0,3,0.2,0.6666666666666666,0.2,0.003929901123046875,3.40818084081014
upper_candidate,20000,plain,15,0.26666666666666666,0.5936168397046636,0,2,0.8,0.2,0.8,0.008739900588989259,4.285372686386109
upper_candidate,20000,stratified,15,0.06666666666666667,0.25819888974716115,0,1,0.9333333333333333,0.06666666666666667,0.9333333333333333,0.035553900400797527,5.087778949737549
upper_candidate,40000,plain,12,0.0,0.0,0,0,1.0,0.0,1.0,0.012658357620239258,8.13276900847753
upper_candidate,40000,stratified,12,0.0,0.0,0,0,1.0,0.0,1.0,0.02095762888590495,8.345107773939768
upper_candidate,80000,plain,10,0.0,0.0,0,0,1.0,0.0,1.0,0.02537698745727539,14.86036376953125
upper_candidate,80000,stratified,10,0.0,0.0,0,0,1.0,0.0,1.0,0.04563126564025879,17.712553596496583
