call_idx,source,reason,wall_seconds,n_inner_solves
1,expensive,first_call,4.59964394569397,33
2,expensive,fixed_dual_disagreement,1.5451858043670654,33
3,expensive,fixed_dual_disagreement,1.0178890228271484,33
4,expensive,fixed_dual_disagreement,1.08831787109375,33
5,expensive,fixed_dual_disagreement,1.0373859405517578,33
6,cheap,none,0.15122103691101074,1
7,expensive,fixed_dual_disagreement,1.021773099899292,33
8,expensive,fixed_dual_disagreement,1.471944808959961,33
9,cheap,none,0.1565709114074707,1
10,cheap,none,0.1553640365600586,1
11,cheap,none,0.16214609146118164,1
12,expensive,winner_fraction_jump,0.9954040050506592,33
13,expensive,fixed_dual_disagreement,1.018355131149292,33
14,expensive,fixed_dual_disagreement,1.0391159057617188,33
15,expensive,fixed_dual_disagreement,1.0130350589752197,33
16,expensive,fixed_dual_disagreement,1.0509529113769531,33
17,expensive,fixed_dual_disagreement,1.4592459201812744,33
18,expensive,fixed_dual_disagreement,1.0101251602172852,33
19,expensive,fixed_dual_disagreement,1.0461580753326416,33
20,expensive,fixed_dual_disagreement,1.0166199207305908,33
21,expensive,fixed_dual_disagreement,1.0572221279144287,33
22,expensive,fixed_dual_disagreement,1.0346181392669678,33
23,expensive,fixed_dual_disagreement,1.044193983078003,33
24,expensive,fixed_dual_disagreement,1.5244851112365723,33
25,expensive,fixed_dual_disagreement,1.0275850296020508,33
26,cheap,none,0.14151906967163086,1
27,expensive,fixed_dual_disagreement,1.0564379692077637,33
28,expensive,fixed_dual_disagreement,1.0223219394683838,33
29,expensive,fixed_dual_disagreement,1.043734073638916,33
30,expensive,fixed_dual_disagreement,1.0170440673828125,33
31,expensive,fixed_dual_disagreement,1.5034809112548828,33
32,expensive,fixed_dual_disagreement,1.0195369720458984,33
33,expensive,fixed_dual_disagreement,1.0037529468536377,33
34,expensive,fixed_dual_disagreement,1.0404589176177979,33
35,cheap,none,0.14740896224975586,1
36,cheap,none,0.14243507385253906,1
37,expensive,fixed_dual_disagreement,1.032701015472412,33
38,expensive,fixed_dual_disagreement,1.5653400421142578,33
39,expensive,fixed_dual_disagreement,1.0526318550109863,33
40,expensive,fixed_dual_disagreement,0.9993758201599121,33
41,expensive,fixed_dual_disagreement,1.0436079502105713,33
42,expensive,fixed_dual_disagreement,1.025650978088379,33
43,expensive,fixed_dual_disagreement,1.0453550815582275,33
44,expensive,fixed_dual_disagreement,1.0376169681549072,33
45,expensive,fixed_dual_disagreement,1.4963741302490234,33
46,expensive,fixed_dual_disagreement,1.0001099109649658,33
47,expensive,fixed_dual_disagreement,1.017341136932373,33
