g,n_feasible,multistart_min_Delta,multistart_max_Delta,n_basins,continuation_Delta,incumbent_Delta,min_minus_delta
0.94,3,0.06472838957796928,0.06512055895836108,2,0.06512055895318057,0.06512055895836108,-0.9352716104220307
0.945,3,0.03599009107206177,0.03703787725243831,3,0.03648035222766821,0.03703787725243831,-0.9640099089279383
0.95,3,0.016786467301229475,0.016953781777395618,3,0.016953781777395618,0.016786467301229475,-0.9832135326987705
0.955,3,0.004993676127379664,0.005439309095200652,3,0.005439309095200652,0.005028943193532977,-0.9950063238726203
0.9570543833857178,4,0.002020452246221855,0.003908445536309224,4,0.002020452246221855,0.002111251119270029,-0.9979795477537782
0.96,3,9.353512908100032e-5,0.00010176947891754223,3,9.794971619134273e-5,0.00010176947891754223,-0.999906464870919
0.965,3,0.0031886618005433215,0.0032979340631693306,3,0.0032979340631693306,0.003267359711450377,-0.9968113381994567
0.97,3,0.01653732020043647,0.01701366172898333,3,0.01701366172898333,0.01653732020043647,-0.9834626797995635
0.975,3,0.043141624553205866,0.04610032782508811,3,0.044276427755315484,0.04610032782508811,-0.9568583754467941
0.978527191692859,4,0.0727153168903099,0.07566397546138912,4,0.0727153168903099,0.07566397546138912,-0.9272846831096901
0.98,3,0.08899180845177218,0.09397256947458225,3,0.08899180845177218,0.09397256947458225,-0.9110081915482278
0.985,3,0.16580086969190527,0.16826083590179614,3,0.16826083590179614,0.16580086969190527,-0.8341991303080947
0.99,3,0.2990693625377523,0.3065207089039856,3,0.2990693625377523,NaN,-0.7009306374622477
