label,n,median_s,min_s,max_s,p90_s,p95_s,mean_s,std_s,mean_alloc_bytes,total_alloc_bytes,mean_gc_s,total_gc_s
gravity_compute,50,5.7755e-6,5.243e-6,1.6343e-5,7.699600000000002e-6,9.193099999999995e-6,6.29182e-6,1.8052992819892827e-6,2720.0,136000,0.0,0.0
inner_dual_fg_callback,50,0.000181444,0.000154767,0.000409262,0.00019462779999999998,0.00020505484999999997,0.00018593123999999998,3.385799882917972e-5,352.0,17600,0.0,0.0
inner_knitro_dual_solve,50,0.00037752550000000004,0.000329626,0.000988932,0.0004953511,0.0005867318999999999,0.00040899820000000006,0.00010816527140351435,1317.12,65856,0.0,0.0
inner_moment_build,50,0.0079712715,0.007192413,0.135358244,0.009448370500000003,0.012064704499999995,0.01089783822,0.01800136062113542,4.11074432e6,205537216,0.00283776782,0.141888391
kkt_residual_compute,50,0.000161471,0.000147956,0.000178525,0.0001716072,0.00017469995,0.00016301587999999998,6.397823330872869e-6,0.0,0,0.0,0.0
moment_resid_compute,50,0.000169728,0.000156,0.000187646,0.00018049499999999997,0.0001825821,0.00017054732000000003,6.63499382046065e-6,208.0,10400,0.0,0.0
moments_reuse,50,0.00011651399999999999,9.7232e-5,0.000194059,0.0001414618,0.00016288699999999996,0.00012124645999999999,2.006700147537377e-5,1.21615616e6,60807808,0.0,0.0
primal_divergence_compute,50,0.0001267115,0.000116481,0.000142238,0.0001350212,0.0001382727,0.00012812622000000001,5.280486110469105e-6,0.0,0,0.0,0.0
primal_weight_recovery,50,0.00013930300000000002,0.000129508,0.000167745,0.00014981880000000002,0.00015285034999999999,0.00014115521999999997,7.647609572611695e-6,352.0,17600,0.0,0.0
reconstruct_full,50,3.585e-7,3.12e-7,2.93e-6,4.4360000000000003e-7,6.507499999999999e-7,4.7804e-7,5.081231957319173e-7,240.0,12000,0.0,0.0
winner_compute,50,0.0019706059999999997,0.001649867,0.014807894,0.0022147255,0.004751093999999998,0.00233570802,0.0019434243252356843,1.79340864e6,89670432,0.00036437948,0.018218974
TOTAL_evaluate_fullA_fast,50,0.012841114,0.011120831,0.139929374,0.015934011,0.017833197,0.01575388754,0.0180769030049473,NaN,NaN,NaN,NaN
