iter,g,Delta_minus_delta,kind
0,0.8859910981141633,0.38191649972037367,endpoint_a
0,0.8926359584642946,-7.59422109797292e-6,endpoint_b
1,0.8926358263371534,-1.655614352058521e-6,bisect
2,0.8926357975322714,-3.60935557774944e-7,bisect
3,0.8926357912526107,-7.868626672458134e-8,bisect
4,0.8926357898836047,-1.7154103248984143e-8,bisect
5,0.8926357895851528,-3.73970465705753e-9,bisect
6,0.8926357895200884,-8.152791775017931e-10,bisect
7,0.8926357895059039,-1.777373803690807e-10,bisect
8,0.8926357895028116,-3.87502252507943e-11,bisect
9,0.8926357895021374,-8.446354726743266e-12,bisect
10,0.8926357895019904,-1.8377521726620216e-12,bisect
11,0.8926357895019584,-4.014566457044566e-13,bisect
12,0.8926357895019514,-8.693046282814976e-14,bisect
13,0.8926357895019499,-1.7541523789077473e-14,bisect
14,0.8926357895019496,-1.6653345369377348e-15,bisect
