label,n,median_s,min_s,max_s,p90_s,p95_s,mean_s,std_s,mean_alloc_bytes,total_alloc_bytes,mean_gc_s,total_gc_s
gravity_compute_compressed,50,7.2385e-6,5.73e-6,1.7048e-5,1.3109700000000003e-5,1.60565e-5,8.60156e-6,3.175182714716861e-6,2720.0,136000,0.0,0.0
inner_dual_fg_callback_compressed,50,0.000251242,0.000226724,0.000333471,0.00029117750000000006,0.00030681625,0.00026045612,2.67253030212408e-5,257210.24,12860512,0.0,0.0
inner_knitro_dual_solve_compressed,50,0.0006543755,0.000397271,0.001382724,0.0008968699,0.0009958149999999997,0.0006604631400000001,0.00021219481889604878,258173.12,12908656,0.0,0.0
inner_moment_build_compressed,50,0.0023533075,0.002272603,0.010614776,0.0025288503,0.0025826258,0.0025893596600000002,0.0012150565323019908,1.21904864e6,60952432,0.00021261238,0.010630619
kkt_residual_compute_compressed,50,0.0001662845,0.000155931,0.000237474,0.0002210613,0.00023264259999999996,0.00017782930000000003,2.461703488025961e-5,0.0,0,0.0,0.0
materialize_dense_for_postproc,50,0.0011534025000000002,0.001114274,0.001273123,0.0012214324,0.0012403283499999999,0.0011653186800000001,3.9201365068610155e-5,0.0,0,0.0,0.0
moment_resid_compute_compressed,50,0.0001706185,0.00016502,0.00020981,0.00019750739999999998,0.00019927265,0.00017868942,1.2738080442147173e-5,208.0,10400,0.0,0.0
moments_reuse_compressed,50,0.000145904,0.000111564,0.002544692,0.0002772382,0.0002837547,0.0002143115,0.00034082175510136896,1.21612928e6,60806464,4.7379220000000003e-5,0.002368961
primal_divergence_compute_compressed,50,0.00013377849999999999,0.00012824,0.000179058,0.00016414109999999998,0.00017124825000000002,0.00014145358,1.4371910570005815e-5,0.0,0,0.0,0.0
primal_weight_recovery_compressed,50,0.00015619849999999998,0.000137439,0.000225766,0.00018618280000000002,0.00021025835000000002,0.00016481236,2.0978755909262306e-5,352.0,17600,0.0,0.0
reconstruct_full_compressed,50,6.565e-7,3.55e-7,1.1068e-5,1.5605000000000001e-6,1.6543e-6,1.01154e-6,1.5233318639597552e-6,240.0,12000,0.0,0.0
winner_compute_compressed,50,0.0017275455,0.001616624,0.011149266,0.002082704100000004,0.00454601475,0.0021473957999999997,0.0015583005801636236,1.79339456e6,89669728,0.0004301542,0.02150771
TOTAL,50,0.008222991,0.007267595,0.019054853,0.010556639,0.011903171,0.00878150972,0.0021918037890235153,NaN,NaN,NaN,NaN
