label,n,median_s,min_s,max_s,p90_s,p95_s,mean_s,std_s,mean_alloc_bytes,total_alloc_bytes,mean_gc_s,total_gc_s
gravity_compute,50,1.08125e-5,6.067e-6,1.9413e-5,1.4954900000000001e-5,1.643155e-5,1.0782700000000001e-5,3.1437316137329015e-6,2720.0,136000,0.0,0.0
inner_dual_fg_callback,50,0.000210765,0.000166845,0.0003427,0.0002677705,0.0002888536,0.00021744925999999998,3.81753641666658e-5,352.0,17600,0.0,0.0
inner_knitro_dual_solve,50,0.0007964599999999999,0.000378397,0.001236946,0.0009903624,0.0010476742999999998,0.00075263616,0.00020747958538459065,1314.88,65744,0.0,0.0
inner_moment_build,50,0.005530678,0.005001703,0.052323445,0.009536014800000001,0.010430994699999998,0.006903511039999999,0.006718879630503638,4.22725344e6,211362672,0.0014121719199999998,0.070608596
kkt_residual_compute,50,0.00019528200000000002,0.00015796,0.000308419,0.00024408509999999998,0.00025930064999999997,0.00019865229999999998,3.374592192036101e-5,0.0,0,0.0,0.0
moment_resid_compute,50,0.000191666,0.000165312,0.000267692,0.00020982000000000002,0.00021650114999999996,0.00019197734000000002,1.892555700267848e-5,208.0,10400,0.0,0.0
moments_reuse,50,0.0001431895,0.00010022,0.000262095,0.00017710040000000002,0.00020511969999999994,0.00014841688000000002,3.0666126137336295e-5,1.21613184e6,60806592,0.0,0.0
primal_divergence_compute,50,0.0001480005,0.000126506,0.000215665,0.0001784648,0.0001860166,0.00015329842,2.0516335365264433e-5,0.0,0,0.0,0.0
primal_weight_recovery,50,0.000171144,0.000135463,0.00021648,0.00019499580000000003,0.0001994664,0.00017035958000000004,2.0686331914704117e-5,352.0,17600,0.0,0.0
reconstruct_full,50,1.168e-6,4.05e-7,1.106e-5,1.7720000000000004e-6,2.3031999999999994e-6,1.49232e-6,1.8521467791264739e-6,240.0,12000,0.0,0.0
winner_compute,50,0.0020303954999999997,0.00169612,0.040641754,0.0026104791000000046,0.0058638673999999984,0.0031417914800000004,0.005634961438235106,1.79339264e6,89669632,0.00115178584,0.057589292
TOTAL,50,0.011046957,0.009009353,0.058605478,0.015603998,0.020486164,0.013498142739999998,0.008823516016809833,NaN,NaN,NaN,NaN
