component,dense_ms,compressed_ms,ratio_d_over_c
TOTAL,123.807954,110.066813,1.12484363474756
inner_moment_build,74.113766,41.156407,1.8007831927602425
winner_compute,28.612213,28.782591,0.994080519019292
materialize_dense_for_postproc,NaN,12.31338,NaN
inner_knitro_dual_solve,3.806128,4.554372,0.8357086333747002
inner_dual_fg_callback,3.159467,3.9567170000000003,0.7985071967492241
moments_reuse,2.959883,2.746156,1.0778276980623096
kkt_residual_compute,2.3742550000000002,2.031581,1.1686735601484755
moment_resid_compute,2.346365,2.0051959999999998,1.1701424698632954
primal_weight_recovery,2.178302,2.606276,0.835790990670213
primal_divergence_compute,1.376017,1.3463889999999998,1.0220055273773034
gravity_compute,0.019683000000000003,0.017218999999999998,1.1430977408676464
reconstruct_full,0.001408,0.001437,0.9798190675017397
