label,n,median_s,min_s,max_s,p90_s,p95_s,mean_s,std_s,mean_alloc_bytes,total_alloc_bytes,mean_gc_s,total_gc_s
gravity_compute,50,1.59385e-5,1.3778e-5,4.2749e-5,2.3496100000000007e-5,3.1617799999999994e-5,1.842718e-5,6.058362305448695e-6,2720.0,136000,0.0,0.0
inner_dual_fg_callback,250,0.000223634,0.000179657,0.002043345,0.0004546993,0.0005356359999999998,0.00030267714399999997,0.00022416150259131303,352.0,88000,0.0,0.0
inner_dual_hessian_callback,200,0.0014122905,0.001178378,0.009080186,0.0021117439,0.0022521731999999993,0.0016796836750000003,0.0010127331607585283,352.0,70400,0.0,0.0
inner_knitro_dual_solve,50,0.007941259999999999,0.006610858,0.044838983,0.0121270083,0.0128454751,0.00935436382,0.005457786282139923,11922.88,596144,0.0,0.0
inner_moment_build,50,0.011429214,0.008107397,0.018126808,0.0162633887,0.01685219195,0.01166413282,0.0031074047455621864,4.11073472e6,205536736,0.00045884551999999997,0.022942275999999998
kkt_residual_compute,50,0.0002717765,0.000242783,0.00170331,0.0003057285,0.0003897157499999996,0.00030989152,0.00020522366331457662,0.0,0,0.0,0.0
moment_resid_compute,50,0.00020555900000000002,0.000174462,0.000730031,0.0002328541,0.00031720594999999966,0.00022447854000000003,8.326298188643508e-5,208.0,10400,0.0,0.0
moments_reuse,50,0.000251774,0.000218969,0.005609166,0.00042848070000000004,0.0024157401999999914,0.00052268,0.0010153875578919186,1.21613568e6,60806784,0.000236343,0.01181715
primal_divergence_compute,50,0.000130555,0.000111125,0.000432421,0.0001965741,0.00020562635,0.00014821194,4.8858883438255736e-5,0.0,0,0.0,0.0
primal_weight_recovery,50,0.0001869185,0.000159148,0.001037666,0.0003414747,0.00035471164999999996,0.00023306208000000003,0.0001366146076935361,352.0,17600,0.0,0.0
reconstruct_full,50,1.2225e-6,8.09e-7,1.1939e-5,1.9557e-6,3.233899999999995e-6,1.7273399999999998e-6,2.0376559422983246e-6,240.0,12000,0.0,0.0
warm_start_reset,50,2.8149999999999997e-7,1.22e-7,1.162e-6,5.907000000000001e-7,7.18e-7,3.3944e-7,2.1580898205286516e-7,0.0,0,0.0,0.0
winner_compute,50,0.001902333,0.001754618,0.007698613,0.0035724566,0.0055775520499999984,0.00245980942,0.0012447443864658187,1.79338368e6,89669184,0.00022948326,0.011474162999999999
TOTAL_evaluate_fullA_fast_cold,50,0.025077907,0.019400564,0.077951986,0.035763022,0.037730952,0.02700132278,0.008967483586251098,NaN,NaN,NaN,NaN
