label,n,median_s,min_s,max_s,p90_s,p95_s,mean_s,std_s,mean_alloc_bytes,total_alloc_bytes,mean_gc_s,total_gc_s
gravity_compute,50,1.50745e-5,1.112e-5,4.2116e-5,3.05697e-5,3.526419999999999e-5,1.7804439999999998e-5,7.386984585867005e-6,2720.0,136000,0.0,0.0
inner_dual_fg_callback,50,0.000352376,0.000224651,0.000994874,0.0006537441,0.0007791544999999997,0.00040443776,0.00018320419433033442,352.0,17600,0.0,0.0
inner_knitro_dual_solve,50,0.0009534395,0.000650037,0.00193951,0.0013380913,0.00178853875,0.00101917232,0.0003039200503124733,1317.12,65856,0.0,0.0
inner_moment_build,50,0.0097749935,0.00803027,0.035133542,0.0141708802,0.015539225149999995,0.011204390339999998,0.004123230678584648,4.11073088e6,205536544,0.00075928818,0.037964409000000005
kkt_residual_compute,50,0.00027492200000000004,0.000167728,0.000547141,0.0003537284,0.0003822663999999999,0.00028542124,6.443407585341844e-5,0.0,0,0.0,0.0
moment_resid_compute,50,0.00020791,0.000173675,0.000508584,0.00024204390000000004,0.00029655349999999986,0.00022331672,5.6997033406882725e-5,208.0,10400,0.0,0.0
moments_reuse,50,0.0002537545,0.00015574,0.004074062,0.00044766290000000024,0.0007255507499999998,0.00037788059999999997,0.0005529337567182262,1.21613504e6,60806752,7.475482e-5,0.003737741
primal_divergence_compute,50,0.00012939050000000001,9.1904e-5,0.000234475,0.00021341350000000003,0.0002185283,0.00013971856,3.756353331230291e-5,0.0,0,0.0,0.0
primal_weight_recovery,50,0.0002195485,0.000153678,0.000678151,0.0003912249,0.00045889624999999963,0.00025344306,0.00010153882810670033,352.0,17600,0.0,0.0
reconstruct_full,50,1.2775e-6,7.38e-7,2.3549e-5,1.7674000000000002e-6,2.428549999999997e-6,1.91884e-6,3.4146082535040474e-6,240.0,12000,0.0,0.0
winner_compute,50,0.001961686,0.001697718,0.011547813,0.0038387898,0.00385656915,0.00249717702,0.0015450170776708824,1.79338112e6,89669056,7.700282e-5,0.003850141
TOTAL_evaluate_fullA_fast_warm,50,0.017092196,0.013110806,0.044355085,0.025414355,0.043922571,0.01931309828,0.007441067621054679,NaN,NaN,NaN,NaN
