label,n,median_s,min_s,max_s,p90_s,p95_s,mean_s,std_s,mean_alloc_bytes,total_alloc_bytes,mean_gc_s,total_gc_s
gravity_compute,100,1.6246e-5,9.776e-6,4.8633e-5,2.4963800000000003e-5,2.85643e-5,1.781924e-5,5.708796522893242e-6,2720.0,272000,0.0,0.0
inner_solve,100,0.017529946499999997,0.009968108,0.042577402,0.025819043300000004,0.02928638704999999,0.018404505940000003,0.005883644750457436,4.11828384e6,411828384,0.00100307904,0.100307904
kkt_residual_compute,100,0.00061146,0.000430075,0.008304158,0.0014504976,0.001823489,0.0010224433000000002,0.0013482088998139664,2.17874304e6,217874304,0.00025649708,0.025649708
moments_recompute,100,0.0112542345,0.008024215,0.439412207,0.016355976999999997,0.0186495247,0.01816736366,0.04879651951884066,4.11011872e6,411011872,0.00740430022,0.740430022
outer_constraint_callback,100,0.000302577,0.000186639,0.000771635,0.0005343832000000004,0.0006593772,0.00035507566,0.00012566276693010424,352.0,35200,0.0,0.0
primal_divergence_compute,100,0.000129593,9.5518e-5,0.00021185,0.00014222800000000005,0.00017602539999999998,0.00013098582,1.7360272222636383e-5,0.0,0,0.0,0.0
reconstruct_full,100,1.158e-6,7.56e-7,2.9865e-5,1.7403e-6,2.7707999999999774e-6,1.8711e-6,3.418191421784274e-6,240.0,24000,0.0,0.0
warm_start_reset,50,3.905e-7,3.8e-8,1.0378e-5,7.238000000000002e-7,1.0049899999999997e-5,1.1503800000000001e-6,2.6987287475129952e-6,0.0,0,0.0,0.0
winner_compute,100,0.003502023,0.003132299,0.015849563,0.0042883061,0.00616985425,0.00391218919,0.0015967616312158445,4.86537984e6,486537984,0.00027164226,0.027164226
TOTAL_evaluate_fullA_warm,50,0.035031619,0.023096724,0.458288449,0.04834338,0.052747433,0.04744663714,0.06812662617552219,NaN,NaN,NaN,NaN
TOTAL_evaluate_fullA_cold,50,0.037541636,0.028679895,0.059497216,0.04648551,0.058368872,0.03865983784,0.007332673639557364,NaN,NaN,NaN,NaN
