g,start_kind,Delta,feasible,knitro_status,n_eval,wall
0.9967391744173478,continuation,0.8922699199044899,true,-102,57,0.9132201671600342
0.9967391744173478,incumbent,NaN,false,0,1,0.05454897880554199
0.9967391744173478,calib,0.9990428758456139,true,-102,94,1.7788200378417969
0.9967391744173478,lower_incumbent,1.0000008524079562,true,-101,67,1.1237280368804932
0.9967391744173478,incumbent+0.5r,NaN,false,0,1,0.031950950622558594
0.9967391744173478,incumbent+1.5r,NaN,false,0,1,0.01620006561279297
0.9967391744173478,calib+0.5r,NaN,false,0,1,0.01613616943359375
0.9967391744173478,calib+1.5r,NaN,false,0,1,0.016006946563720703
0.9967391744173478,lower_incumbent+0.5r,NaN,false,0,1,0.03065204620361328
0.9967391744173478,lower_incumbent+1.5r,NaN,false,0,1,0.018217802047729492
0.9967391744173478,uniform_pm2_a,NaN,false,0,1,0.018212080001831055
0.9967391744173478,uniform_pm2_b,NaN,false,0,1,0.013611078262329102
0.999,continuation,2.3143923055715447,true,-102,47,0.9338479042053223
0.999,incumbent,NaN,false,0,1,0.031336069107055664
0.999,calib,2.1741879934876884,true,-102,71,1.402451992034912
0.999,lower_incumbent,2.210004532644469,true,-102,78,1.5621380805969238
0.999,incumbent+0.5r,NaN,false,0,1,0.02314305305480957
0.999,incumbent+1.5r,NaN,false,0,1,0.024953126907348633
0.999,calib+0.5r,NaN,false,0,1,0.028146982192993164
0.999,calib+1.5r,NaN,false,0,1,0.017216920852661133
0.999,lower_incumbent+0.5r,NaN,false,0,1,0.022277116775512695
0.999,lower_incumbent+1.5r,NaN,false,0,1,0.027751922607421875
0.999,uniform_pm2_a,NaN,false,0,1,0.021873950958251953
0.999,uniform_pm2_b,NaN,false,0,1,0.026274919509887695
0.9995,continuation,4.017870188328672,true,-102,58,1.0054590702056885
0.9995,incumbent,NaN,false,0,1,0.029891014099121094
0.9995,calib,4.224785123976645,true,-101,237,4.452167987823486
0.9995,lower_incumbent,3.539207596715654,true,-102,665,12.648415088653564
0.9995,incumbent+0.5r,NaN,false,0,1,0.026508092880249023
0.9995,incumbent+1.5r,NaN,false,0,1,0.03174591064453125
0.9995,calib+0.5r,NaN,false,0,1,0.02727794647216797
0.9995,calib+1.5r,NaN,false,0,1,0.023027896881103516
0.9995,lower_incumbent+0.5r,NaN,false,0,1,0.034052133560180664
0.9995,lower_incumbent+1.5r,NaN,false,0,1,0.021656036376953125
0.9995,uniform_pm2_a,NaN,false,0,1,0.022322893142700195
0.9995,uniform_pm2_b,NaN,false,0,1,0.01807999610900879
1.0,continuation,NaN,false,0,1,0.0613551139831543
1.0,incumbent,NaN,false,0,1,0.03480195999145508
1.0,calib,NaN,false,0,1,0.06444692611694336
1.0,lower_incumbent,NaN,false,0,1,0.060395002365112305
1.0,incumbent+0.5r,NaN,false,0,1,0.03136491775512695
1.0,incumbent+1.5r,NaN,false,0,1,0.08451008796691895
1.0,calib+0.5r,NaN,false,0,1,0.027565956115722656
1.0,calib+1.5r,NaN,false,0,1,0.018735885620117188
1.0,lower_incumbent+0.5r,NaN,false,0,1,0.03905797004699707
1.0,lower_incumbent+1.5r,NaN,false,0,1,0.02411198616027832
1.0,uniform_pm2_a,NaN,false,0,1,0.020706892013549805
1.0,uniform_pm2_b,NaN,false,0,1,0.0714108943939209
