phase,item,metric,value,source_path
A,maxit15_upper,gamma_focal_prime,0.8938496736355915,results/fullA_d4/9e03706/optfd_upper_20260717_182444/summary.txt
A,maxit15_upper,kappa,0.17058068794444559,results/fullA_d4/9e03706/optfd_upper_20260717_182444/summary.txt
A,maxit15_upper,classification,H_BANDWIDTH_KKT_CANDIDATE_h0.01_only_stale_check,results/fullA_d4/9e03706/stationarity_check_upper.txt
A,maxit40_upper,gamma_focal_prime,0.8930839180420251,results/fullA_d4/9e03706/optfd_upper_20260717_190946/summary.txt
A,maxit40_upper,kappa,0.17176461388430053,results/fullA_d4/9e03706/optfd_upper_20260717_190946/summary.txt
A,maxit40_upper,exact_feasible_candidate,true,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/step1_recheck.csv
A,maxit40_upper,h_bandwidth_kkt_candidate_h0.01,true,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/step3_stationarity_check_maxit40_h01.txt
A,maxit40_upper,robust_local_candidate,false,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/phaseA_classification.txt
A,maxit40_upper,kkt_residual_relative_h0.02,1.00000,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/step4_h_grid.csv
A,maxit40_upper,kkt_residual_relative_h0.01,0.00118,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/step4_h_grid.csv
A,maxit40_upper,kkt_residual_relative_h0.005,0.00741,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/step4_h_grid.csv
A,maxit40_upper,kkt_residual_relative_h0.0025,0.01340,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/step4_h_grid.csv
A,maxit40_upper,kkt_residual_relative_h0.001,0.01906,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/step4_h_grid.csv
A,maxit40_upper,poll_improvements_found,3,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/step6_poll.csv
A,maxit40_upper,poll_probes_total,216,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/step6_poll.csv
A,maxit40_upper,random_directions_triggering_winner_switch,20_of_20,results/fullA_d4/1b2a3a0/phaseA_upper_revalidation/step5_directional_checks.csv
B,auto_bfgs_hessopt2,opt_err,0.11456589808176432,results/fullA_d4/1b2a3a0/phaseB_hessian_matrix/auto_bfgs_summary.txt
B,auto_bfgs_hessopt2,wall_seconds,24.4,results/fullA_d4/1b2a3a0/phaseB_hessian_matrix/auto_bfgs_summary.txt
B,auto_sr1_hessopt3,opt_err,0.00225204420669746,results/fullA_d4/1b2a3a0/phaseB_hessian_matrix/auto_sr1_summary.txt
B,auto_sr1_hessopt3,wall_seconds,17.2,results/fullA_d4/1b2a3a0/phaseB_hessian_matrix/auto_sr1_summary.txt
B,auto_lbfgs_hessopt6,opt_err,0.008483536212508233,results/fullA_d4/1b2a3a0/phaseB_hessian_matrix/auto_lbfgs_summary.txt
B,auto_lbfgs_hessopt6,wall_seconds,17.6,results/fullA_d4/1b2a3a0/phaseB_hessian_matrix/auto_lbfgs_summary.txt
B,sqp_bfgs,knitro_status,-410,results/fullA_d4/1b2a3a0/phaseB_hessian_matrix/sqp_bfgs_summary.txt
B,sqp_bfgs,wall_seconds,18.2,results/fullA_d4/1b2a3a0/phaseB_hessian_matrix/sqp_bfgs_summary.txt
B,direct_bfgs,opt_err,0.11456589808176432,results/fullA_d4/1b2a3a0/phaseB_hessian_matrix/direct_bfgs_summary.txt
B,direct_bfgs,wall_seconds,16.6,results/fullA_d4/1b2a3a0/phaseB_hessian_matrix/direct_bfgs_summary.txt
B,auto_productfd_hessopt4_CONTROL,opt_err,0.0015729041294707618,results/fullA_d4/9e03706/optfd_upper_20260717_182444/summary.txt
B,auto_productfd_hessopt4_CONTROL,wall_seconds,324.0,results/fullA_d4/9e03706/optfd_upper_20260717_182444/summary.txt
B,auto_productfd_hessopt4_CONTROL,best_feasible_kappa,0.17058068794444559,results/fullA_d4/9e03706/optfd_upper_20260717_182444/summary.txt
D,calibration,cosine_L_fix_FD_vs_DeltaFD,0.9998,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
D,calibration,norm_ratio_L_fix_FD_vs_DeltaFD,0.751,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
D,upper_maxit15,cosine_L_fix_FD_vs_DeltaFD,1.0000,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
D,upper_maxit15,norm_ratio_L_fix_FD_vs_DeltaFD,0.439,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
D,upper_maxit40,cosine_L_fix_FD_vs_DeltaFD,1.0000,results/fullA_d4/83b7380/phaseD_gradient_benchmark/phaseD_comparison_table.csv
