item,branch,gamma_d_prime,kappa_ratio,gains_from_trade_pct,delta_star,classification
Frechet_calibration,,0.6578550157,0.9796971896,2.030281,0.000407206993,FiniteSolved
theoretical_lower_GT_endpoint(g_floor_kappamax1),B_toward_max_gamma,0.6784102437,1.0,0.0,,theoretical_limit
theoretical_upper_GT_endpoint(g_ceiling_kappamin),A_toward_min_gamma,0.566931247,0.8872077596,11.279224,,theoretical_open_limit
refined_near_Delta0.1,A_toward_min_gamma,0.6355975366222962,0.9574730063962796,4.252699360372036,0.100201184821347,FiniteSolved (Phase 4 refinement)
refined_near_Delta0.5,A_toward_min_gamma,0.6150454755042412,0.9367202036089509,6.327979639104909,0.4988921744955163,FiniteSolved (Phase 4 refinement)
refined_near_Delta1.0,A_toward_min_gamma,0.6078636694725449,0.9294139648851277,7.058603511487227,0.9950808596217706,FiniteSolved (Phase 4 refinement)
refined_near_Delta2.0,A_toward_min_gamma,0.6022382487037888,0.9236709642291586,7.632903577084138,1.9790234708969647,FiniteSolved (Phase 4 refinement)
last_finite,A_toward_min_gamma,0.599143545,0.9205039544,7.949605,3.34565,FiniteSolved
first_InfiniteDeltaCertified,A_toward_min_gamma,0.5954788465,0.9167465713,8.325343,,InfiniteDeltaCertified
refined_near_Delta0.1,B_toward_max_gamma,0.6703233172054456,0.9920371890767523,0.7962810923247687,0.0999026506518354,FiniteSolved (Phase 4 refinement)
refined_near_Delta0.5,B_toward_max_gamma,0.6737037532036123,0.995369616688028,0.4630383311971964,0.4439141559719687,FiniteSolved (Phase 4 refinement)
refined_near_Delta1.0,B_toward_max_gamma,0.6740574866104916,0.9957180039224096,0.42819960775903887,0.7580545834177199,FiniteSolved (Phase 4 refinement)
refined_near_Delta2.0,B_toward_max_gamma,0.6744113990037394,0.9960665064546339,0.3933493545366096,1.837447686245311,FiniteSolved (Phase 4 refinement)
last_finite,B_toward_max_gamma,0.6744885459,0.996142466,0.385753,2.326104,FiniteSolved
first_InfiniteDeltaCertified,B_toward_max_gamma,0.6754295778,0.9970687817,0.293122,,InfiniteDeltaCertified
