family,W,label,n,mean_s,median_s,min_s,max_s,p90_s,p95_s,total_s,mean_alloc_bytes,total_alloc_bytes,mean_gc_s,total_gc_s,coverage_vs_coarse
cm_meanzc,20000,H_CC,42,0.010038186547619047,0.0095116845,0.008775272,0.016696299,0.0115301453,0.0118794254,0.421603835,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,H_CZ_prep,42,0.12566495383333334,0.1270567965,0.105721297,0.147213336,0.1381107858,0.14303708734999995,5.277928061,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,H_EC_asm,42,0.012389268595238095,0.011976724,0.011521811,0.015907895,0.013813649199999998,0.014997035499999997,0.5203492810000001,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,H_EC_prep,42,0.025270263976190477,0.024207182,0.021238704,0.033882096,0.0296082363,0.030853441349999997,1.0613510870000002,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,H_EE,42,0.17413013061904759,0.1709423815,0.148864407,0.246764889,0.1879576517,0.2078903133499999,7.313465485999998,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,H_EE_core,42,0.007232805000000004,0.0070037445,0.0059911,0.010616754,0.0082405441,0.0085221218,0.30377781,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,H_ER,42,0.05182964978571429,0.0466830025,0.043380656,0.08549796,0.0651324684,0.0667879064,2.1768452910000002,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,H_ER_prep,42,0.029401836285714293,0.0283105255,0.026232626,0.057389176,0.031418981199999994,0.03229287560000001,1.2348771240000003,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,H_ZZ,42,0.08479373628571428,0.0839061155,0.068468235,0.127139843,0.0926776553,0.10299886079999998,3.561336924000001,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,bintables_prep,42,0.070278458,0.068429888,0.061317049,0.10623372,0.0804409607,0.0814204903,2.9516952360000004,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,ddpsi,42,0.0001350125714285714,0.000114573,0.000106185,0.000360654,0.0001915225999999999,0.00032688969999999945,0.0056705279999999985,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,hessw_operator_prep,42,1.0347428571428572e-5,9.512999999999999e-6,7.196e-6,2.066e-5,1.30938e-5,1.6247999999999984e-5,0.000434592,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,inner_dual_hessian_callback_archC,42,0.43449089326190476,0.4330175865,0.392079008,0.538219037,0.45267594840000003,0.5135758208999998,18.248617517,88020.19047619047,3696848,0.0,0.0,1.3985319060046577
cm_meanzc,20000,misc_bookkeeping,42,0.004565148142857142,0.0045217750000000004,0.004003224,0.005487107,0.00509075,0.005206807149999999,0.19173622199999998,0.0,0,0.0,0.0,1.3985319060046577
cm_meanzc,20000,packing,42,0.011909580023809525,0.010989169,0.010422701,0.020903855,0.014459887599999999,0.017422445049999995,0.5002023610000002,0.0,0,0.0,0.0,1.3985319060046577
