family,W,label,n,mean_s,median_s,min_s,max_s,p90_s,p95_s,total_s,mean_alloc_bytes,total_alloc_bytes,mean_gc_s,total_gc_s,coverage_vs_coarse
flexible_cm,20000,H_CC,42,0.01029045607142857,0.0098851865,0.009171238,0.014920503,0.011248112,0.012776178999999993,0.4321991550000001,0.0,0,0.0,0.0,1.0607941318729965
flexible_cm,20000,H_EC_asm,42,0.0037321229523809515,0.003661208,0.003258277,0.005203668,0.0041332158,0.0043747649,0.156749164,0.0,0,0.0,0.0,1.0607941318729965
flexible_cm,20000,H_EC_prep,42,0.020037610190476195,0.0197628275,0.018293022,0.023433704,0.0217678768,0.02190075265,0.8415796280000001,0.0,0,0.0,0.0,1.0607941318729965
flexible_cm,20000,H_EE,42,0.006582042166666665,0.0064699765,0.005898948,0.007856127,0.0075144797999999995,0.00760586105,0.276445771,0.0,0,0.0,0.0,1.0607941318729965
flexible_cm,20000,H_EE_core,42,0.006576199333333331,0.0064643489999999994,0.00589351,0.007851142,0.007509008,0.00760147785,0.27620037199999997,0.0,0,0.0,0.0,1.0607941318729965
flexible_cm,20000,bintables_prep,42,0.05973377333333333,0.058508548,0.050377635,0.071447797,0.0684333989,0.0690662573,2.50881848,0.0,0,0.0,0.0,1.0607941318729965
flexible_cm,20000,ddpsi,42,0.00012141319047619048,0.000115962,0.000104128,0.000202683,0.00013292949999999998,0.00014199434999999998,0.005099353999999999,0.0,0,0.0,0.0,1.0607941318729965
flexible_cm,20000,hessw_operator_prep,42,8.971690476190476e-6,8.2035e-6,6.641e-6,2.276e-5,9.8806e-6,1.4844949999999987e-5,0.000376811,0.0,0,0.0,0.0,1.0607941318729965
flexible_cm,20000,inner_dual_hessian_callback_archC,42,0.10752211859523808,0.1065833185,0.09464545,0.124087994,0.115530615,0.11733231754999998,4.515928981,53233.52380952381,2235808,0.0,0.0,1.0607941318729965
flexible_cm,20000,misc_bookkeeping,42,0.0020053435952380955,0.0020189270000000002,0.001396194,0.002845267,0.0022069477,0.0024170744499999995,0.08422443100000002,0.0,0,0.0,0.0,1.0607941318729965
flexible_cm,20000,packing,42,0.004970899928571428,0.0048424455000000005,0.004512374,0.006830959,0.0052401056,0.005324413899999999,0.20877779700000001,0.0,0,0.0,0.0,1.0607941318729965
