 Count  Overhead File                    Line Function
 =====  ======== ====                    ==== ========
     8         0 @Base/special/exp.jl    236 exp_impl
     8         0 @Base/multidimensional.jl  791 index_shape
     8         0 @InvertedIndices/…rc/InvertedIndices.jl  102 size
     8         0 @Base/subarray.jl       398 setindex!
     8         8 @Base/set.jl              ? unique!(itr::Vector{Int64})
     8         0 @Base/int.jl           1015 +
     8         0 @Base/range.jl            5 Colon
     8         0 @Base/range.jl          415 UnitRange
     8         4 @Base/range.jl          426 unitrange_last
     8         6 @InvertedIndices/…rc/InvertedIndices.jl    ? iterate
     8         0 @Base/special/log.jl    271 _log
     8         0 …c/smoothMinIndNew!.jl   44 MinInd2!(xInd::Vector{Float64}, x…
     9         9 @Base/float.jl            ? Int64
     9         9 @Base/essentials.jl     799 ifelse
     9         0 @Base/abstractarray.jl 3088 offsetin
     9         0 …/moments/hFunction.jl   76 hFunction!(G::SubArray{Float64, 2…
     9         0 @Base/abstractarray.jl 1390 _to_subscript_indices
     9         0 @Base/abstractarray.jl 1412 _unsafe_ind2sub
     9         0 @Base/abstractarray.jl 3054 _ind2sub
     9         0 @Base/abstractarray.jl 3092 _ind2sub
     9         0 @Base/abstractarray.jl 3105 _ind2sub_recurse
     9         0 @Base/abstractarray.jl 3112 _div
     9         9 @Base/int.jl            301 div
     9         0 @Base/special/exp.jl    258 exp_impl
     9         9 @Base/essentials.jl     919 getindex
     9         0 …r/moments/moments!.jl  221 EK_moments_simple!(K::SubArray{Fl…
     9         0 …hFunction_jacobian.jl   24 hFunction_jacobian_copy_only!(jac…
     9         9 @Base/array.jl          194 size
    10         0 @LinearAlgebra/src/adjtrans.jl  343 getindex
    10        10 @Base/boot.jl           593 memoryref
    10         3 …r/moments/moments!.jl  137 macro expansion
    10         0 …r/moments/moments!.jl  128 EK_moments_simple!(K::SubArray{Fl…
    10        10 @Base/float.jl          420 unsafe_trunc
    10        10 @Base/math.jl             ? ^(x::Float64, y::Float64)
    11         0 @Base/array.jl          322 copyto!
    11        11 @Base/essentials.jl      11 length
    11         0 …hFunction_jacobian.jl   17 hFunction_jacobian_copy_only!(jac…
    11         0 @Base/array.jl          937 getindex
    11        11 …hFunction_jacobian.jl    ? hFunction_jacobian_calculation!(j…
    11         0 @InvertedIndices/…rc/InvertedIndices.jl  105 iterate
    12        12 @Base/set.jl            470 unique!(itr::Vector{Int64})
    12         0 @Base/special/log.jl    164 log_proc1
