method,target,start,status,worst_share_err
LC,T1,Astar,GENUINE,9.620419035277078e-7
LC,T1,rand1,GENUINE,9.837923590216846e-7
LC,T2,Astar,GENUINE,7.230244425055279e-7
LC,T2,rand1,ALREADY_CONFIRMED_SPURIOUS,NaN
LC,T2,warm,GENUINE,9.976553293841598e-7
LC,T3,Astar,GENUINE,8.721718606967497e-7
LC,T3,rand1,GENUINE,9.75746772747003e-7
LC,T3,warm,ALREADY_CONFIRMED_SPURIOUS,NaN
LU,T1,Astar,GENUINE,9.8710028908507e-7
LU,T1,rand1,GENUINE,9.688822321064425e-7
LU,T1,rand2,GENUINE,9.528086651613911e-7
LU,T2,Astar,GENUINE,8.885937036038532e-7
LU,T2,rand1,GENUINE,9.68277131025493e-7
LU,T2,warm,GENUINE,8.885937036038532e-7
LU,T3,Astar,REJECTED_BY_FIXED_RECOVER_LFD,NaN
LU,T3,rand1,REJECTED_BY_FIXED_RECOVER_LFD,NaN
LU,T3,warm,REJECTED_BY_FIXED_RECOVER_LFD,NaN
GC,T1,Astar,GENUINE,7.757410907141375e-7
GC,T1,rand1,GENUINE,8.593909650281739e-7
GC,T1,rand2,GENUINE,4.807218940373545e-7
GC,T2,Astar,GENUINE,7.71640667172847e-7
GC,T2,rand1,GENUINE,9.228872002164934e-7
GC,T2,warm,ALREADY_CONFIRMED_SPURIOUS,NaN
GC,T3,Astar,GENUINE,7.606295091677068e-7
GC,T3,rand1,GENUINE,9.723608615159248e-7
GU,T1,Astar,GENUINE,9.8710028908507e-7
GU,T1,rand1,GENUINE,8.840593489884384e-7
GU,T1,rand2,GENUINE,8.97295479491435e-7
GU,T2,Astar,GENUINE,9.78018426087482e-7
GU,T2,rand1,GENUINE,6.843538599456134e-7
GU,T2,warm,GENUINE,7.118117831923982e-7
GU,T3,Astar,GENUINE,9.887680472889064e-7
